ts;dow;hod;broker;ttx-sc;ttx-sd;ttx-uc;ttx-ud;mtx-c;mtx-d;btx-c;btx-d;dtx-c;dtx-d;ctx-c;ctx-d;bce-c;bce-d;bank-c;bank-d;cash
360;1;0;default broker;0,0000;0,0000;18081,3572;-2,5522;0,0000;0,0000;0,0000;-6675,4723;0,0000;-866,5300;0,0000;0,0000;0,0000;0,0000;1,7130;0,0000;10538,5157
360;1;0;CrocodileAgent;0,0000;-8459,7778;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;SPOT;0,0000;-16919,5556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;EWIIS3;0,0000;-16919,5556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;VidyutVanika;0,0000;-8459,7778;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;AgentUDE;0,0000;-16919,5556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;Bunnie;0,0000;-16919,5556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;1;1;default broker;0,0000;0,0000;17031,2270;-2,6094;0,0000;-794,6109;0,0000;-175,3104;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26597,1970
361;1;1;CrocodileAgent;0,0000;-16922,0556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25381,9085
361;1;1;SPOT;0,0000;0,0000;0,0000;0,0000;0,0000;-72,2139;145,5521;0,0000;0,0000;-2,2950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16848,5124
361;1;1;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;1;1;EWIIS3;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-1,3300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16920,8856
361;1;1;VidyutVanika;0,0000;-76,0000;0,0000;0,0000;1,0433;-5,2163;8,4110;0,0000;0,0000;-111,8800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8643,4198
361;1;1;AgentUDE;0,0000;-40,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-244,1550;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17203,7106
361;1;1;Bunnie;0,0000;-300,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-506,7800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17726,3356
362;1;2;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26597,1820
362;1;2;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25381,9835
362;1;2;SPOT;1,5200;0,0000;17,4239;0,0000;0,0000;-83,4613;306,0072;0,0000;0,0000;-2,2950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16609,3176
362;1;2;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
362;1;2;EWIIS3;2,7708;0,0000;1103,5716;0,0000;0,0000;-106,2766;0,0000;-329,2783;0,0000;-1,3300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16251,4281
362;1;2;VidyutVanika;0,0000;0,0000;124,5930;-5,4118;7,5506;-21,3955;0,0000;-2,0657;0,0000;-111,8800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8652,0292
362;1;2;AgentUDE;0,0000;0,0000;2422,2467;0,0000;0,0000;0,0000;0,0000;-2331,2021;0,0000;-244,1550;0,0000;0,0000;4,5077;0,0000;0,0000;0,0000;-17352,3133
362;1;2;Bunnie;0,0000;0,0000;4465,1414;0,0000;0,0000;0,0000;0,0000;-3988,9307;0,0000;-506,7800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17756,9049
363;1;3;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;-975,1080;2692,2272;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;28314,2861
363;1;3;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25382,0585
363;1;3;SPOT;1,5200;0,0000;14,0361;0,0000;0,0000;0,0000;0,0000;-4,7282;0,0000;-2,2950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16600,7848
363;1;3;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
363;1;3;EWIIS3;2,7708;0,0000;1089,3768;0,0000;26,5604;-97,7040;0,0000;-291,5327;0,0000;-1,3300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-15523,2868
363;1;3;VidyutVanika;0,0000;0,0000;120,4467;0,0000;13,8083;-29,2472;0,0000;-16,7564;0,0000;-111,8800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8675,6578
363;1;3;AgentUDE;0,0000;0,0000;1964,7585;0,0000;0,0000;-420,8483;0,0000;-236,5727;0,0000;-244,1550;0,0000;0,0000;2,1722;0,0000;0,0000;0,0000;-16286,9587
363;1;3;Bunnie;0,0000;0,0000;4859,8530;0,0000;0,0000;0,0000;0,0000;-2763,1130;0,0000;-506,7800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16166,9448
364;1;4;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;28314,2711
364;1;4;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25382,1335
364;1;4;SPOT;1,5200;0,0000;13,8744;0,0000;0,0000;-2,4415;1,8849;0,0000;0,0000;-2,2950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16588,2419
364;1;4;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
364;1;4;EWIIS3;2,7708;-16919,5556;1281,7912;0,0000;15,6232;-80,4138;0,0000;-364,3716;0,0000;-1,3300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-14669,2170
364;1;4;VidyutVanika;0,0000;0,0000;120,8411;-4,8048;20,2075;-37,2510;7,9395;0,0000;0,0000;-111,8800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8680,6055
364;1;4;AgentUDE;0,0000;0,0000;2492,9133;0,0000;0,0000;-465,7628;0,0000;-230,8340;0,0000;-244,1550;0,0000;0,0000;2,2194;0,0000;0,0000;0,0000;-14732,5776
364;1;4;Bunnie;0,0000;0,0000;5048,2970;0,0000;0,0000;-1006,6498;0,0000;-320,3448;0,0000;-506,7800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-12952,4224
365;1;5;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;-1964,9918;109,4915;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26458,7558
365;1;5;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25382,2085
365;1;5;SPOT;1,5200;0,0000;12,8505;0,0000;0,0000;-2,4753;0,0926;0,0000;0,0000;-2,2950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16578,5490
365;1;5;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
365;1;5;EWIIS3;2,7708;0,0000;1576,1924;0,0000;14,2890;-130,8555;0,0000;-14,2490;0,0000;-1,3300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-30141,9548
365;1;5;VidyutVanika;0,0000;0,0000;119,6834;-5,5028;24,3928;-51,0154;0,4927;0,0000;0,0000;-111,8800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8704,4348
365;1;5;AgentUDE;0,0000;0,0000;2685,2492;0,0000;0,0000;-744,9107;0,0000;-0,4986;0,0000;-244,1550;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13036,8928
365;1;5;Bunnie;0,0000;0,0000;4334,6261;0,0000;0,0000;-22,0620;0,0000;-71,4661;0,0000;-506,7800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9218,1044
366;1;6;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26458,7408
366;1;6;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25382,2835
366;1;6;SPOT;1,5200;0,0000;12,9188;-0,1524;0,0000;0,0000;0,0000;-2,6555;0,0000;-2,2950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16569,2132
366;1;6;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
366;1;6;EWIIS3;2,7708;0,0000;1741,0296;0,0000;0,0000;-184,8157;0,0000;-554,2773;0,0000;-1,3300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-29138,5774
366;1;6;VidyutVanika;0,0000;0,0000;116,8818;-6,0816;23,2829;-48,7318;34,7212;0,0000;0,0000;-111,8800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8696,2424
366;1;6;AgentUDE;0,0000;0,0000;2856,2048;0,0000;0,0000;-786,3150;175,7955;0,0000;0,0000;-244,1550;0,0000;0,0000;4,5400;0,0000;0,0000;0,0000;-11030,8225
366;1;6;Bunnie;0,0000;0,0000;5404,9072;0,0000;0,0000;0,0000;0,0000;-5081,7273;0,0000;-506,7800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9401,7045
367;1;7;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26458,7258
367;1;7;CrocodileAgent;10,0000;-1,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25373,8735
367;1;7;SPOT;5,5200;0,0000;13,3430;-0,9032;0,0000;0,0000;0,0000;-1,2792;0,0000;-2,3800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16554,9126
367;1;7;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
367;1;7;EWIIS3;2,7708;0,0000;2199,5583;0,0000;0,0000;-308,4265;0,0000;-666,6934;0,0000;-0,9850;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-27912,3531
367;1;7;VidyutVanika;5,0000;-5,5000;120,3209;-7,8010;31,0759;-60,1331;68,7956;0,0000;0,0000;-111,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8656,4142
367;1;7;AgentUDE;72,5000;-20,0000;3384,6725;0,0000;39,0188;-813,8097;18,1277;0,0000;0,0000;-244,1700;0,0000;0,0000;4,7149;0,0000;0,0000;0,0000;-8589,7683
367;1;7;Bunnie;20,0000;0,0000;5653,0458;0,0000;0,0000;-4,1902;0,0000;-5791,7426;0,0000;-506,9600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-10031,5516
368;1;8;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26458,7108
368;1;8;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25373,9635
368;1;8;SPOT;1,5100;0,0000;9,7401;-11,3028;0,0000;-3,7932;79,0907;0,0000;0,0000;-2,3800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16482,0478
368;1;8;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
368;1;8;EWIIS3;1,8604;0,0000;2613,6405;0,0000;0,0000;-520,3263;0,0000;-461,3871;0,0000;-0,9850;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-26279,5506
368;1;8;VidyutVanika;0,0000;0,0000;57,3971;-0,0116;52,6567;-71,0329;32,7496;0,0000;0,0000;-111,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8696,5852
368;1;8;AgentUDE;0,0000;0,0000;3473,7749;0,0000;55,3522;-875,6057;71,4018;0,0000;0,0000;-244,1700;0,0000;0,0000;4,3808;0,0000;0,0000;0,0000;-6104,6343
368;1;8;Bunnie;0,0000;0,0000;4591,2174;0,0000;0,0000;-15,9447;0,0000;-4484,6741;0,0000;-506,9600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-10447,9131
369;1;9;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26458,6958
369;1;9;CrocodileAgent;0,0000;0,0000;0,0784;0,0000;0,0000;0,0000;0,0000;-0,0434;0,0000;-0,0900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25374,0185
369;1;9;SPOT;1,5100;0,0000;20,1454;-15,7136;0,0000;-2,8936;91,7890;0,0000;0,0000;-2,3800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16389,5906
369;1;9;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
369;1;9;EWIIS3;1,8604;0,0000;2715,6386;0,0000;0,0000;-627,8204;0,0000;-180,4184;0,0000;-0,9850;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-24371,2754
369;1;9;VidyutVanika;0,0000;0,0000;60,7138;-5,5494;59,9997;-78,7191;58,9500;0,0000;0,0000;-111,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8713,1202
369;1;9;AgentUDE;0,0000;0,0000;3723,6237;0,0000;43,8807;-879,8150;0,0000;-28,5105;0,0000;-244,1700;0,0000;0,0000;3,6567;0,0000;0,0000;0,0000;-3485,9686
369;1;9;Bunnie;0,0000;0,0000;4419,5252;0,0000;0,0000;-247,3656;0,0000;-3101,9087;0,0000;-506,9600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9884,6222
370;1;10;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26458,6808
370;1;10;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25374,1085
370;1;10;SPOT;1,5100;0,0000;18,4907;-59,4280;0,0000;-1,6836;316,7146;0,0000;0,0000;-2,3800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-16116,3669
370;1;10;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
370;1;10;EWIIS3;1,8604;0,0000;2565,9267;0,0000;10,9878;-572,8016;0,0000;-112,7124;0,0000;-0,9850;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-22478,9996
370;1;10;VidyutVanika;0,0000;0,0000;57,0299;-6,0610;63,5150;-84,0505;59,9284;0,0000;0,0000;-111,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8734,6885
370;1;10;AgentUDE;0,0000;0,0000;4012,2644;0,0000;46,3876;-825,6515;0,0000;-120,1042;0,0000;-244,1700;0,0000;0,0000;3,9259;0,0000;0,0000;0,0000;-613,3165
370;1;10;Bunnie;0,0000;0,0000;6042,0597;0,0000;0,0000;-238,7038;0,0000;-2415,8955;0,0000;-506,9600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7004,1217
371;1;11;default broker;0,0000;0,0000;0,0456;0,0000;0,0000;0,0000;0,0000;-0,0101;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26458,7013
371;1;11;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-25374,1985
371;1;11;SPOT;1,5100;0,0000;17,8203;-79,4232;0,0000;-2,9742;438,8896;0,0000;0,0000;-2,3800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-15742,9244
