ts;dow;hod;broker;ttx-sc;ttx-sd;ttx-uc;ttx-ud;mtx-c;mtx-d;btx-c;btx-d;dtx-c;dtx-d;ctx-c;ctx-d;bce-c;bce-d;bank-c;bank-d;cash
360;1;0;default broker;0,0000;0,0000;18518,1474;-3,1557;0,0000;0,0000;0,0000;-6856,5203;0,0000;-866,4400;0,0000;0,0000;0,0000;0,0000;1,5009;0,0000;10793,5322
360;1;0;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;EWIIS3;0,0000;-7344,5917;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;AgentUDE;0,0000;-7344,5917;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;1;0;Bunnie;0,0000;-7344,5917;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;1;1;default broker;0,0000;0,0000;18823,4716;-2,5257;0,0000;-1381,3583;0,0000;-91,2611;0,0000;-102,2200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;28039,6387
361;1;1;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;1;1;EWIIS3;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,5250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7345,1167
361;1;1;AgentUDE;0,0000;-10,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-409,5050;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7764,0967
361;1;1;Bunnie;0,0000;-300,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-354,1900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7998,7817
362;1;2;default broker;0,0000;0,0000;0,0000;-2,5241;54,7283;-1217,9357;12,9067;0,0000;0,0000;-102,2200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26784,5940
362;1;2;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
362;1;2;EWIIS3;1,1083;0,0000;549,4873;0,0000;0,0000;0,0000;0,0000;-438,9014;0,0000;-0,5250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7233,9474
362;1;2;AgentUDE;0,7500;0,0000;5184,1186;0,0000;0,0000;0,0000;0,0000;-6891,7021;0,0000;-409,5050;0,0000;0,0000;1,4591;0,0000;0,0000;0,0000;-9878,9761
362;1;2;Bunnie;0,0000;0,0000;3454,3011;-2,5241;0,0000;0,0000;0,0000;-3787,7463;0,0000;-354,1900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8688,9409
363;1;3;default broker;0,0000;0,0000;0,0000;-2,2856;5,9050;0,0000;9,3251;0,0000;0,0000;-102,2200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26695,3185
363;1;3;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
363;1;3;EWIIS3;1,1083;0,0000;549,6912;0,0000;0,0000;0,0000;0,0000;-364,6674;0,0000;-0,5250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7048,3404
363;1;3;AgentUDE;0,7500;0,0000;4451,5254;0,0000;0,0000;-1046,9315;0,0000;-1200,1245;0,0000;-409,5050;0,0000;0,0000;1,0600;0,0000;0,0000;0,0000;-8082,2017
363;1;3;Bunnie;0,0000;0,0000;3657,8856;-2,2856;6,1862;0,0000;0,0000;-3355,1474;0,0000;-354,1900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8736,4921
364;1;4;default broker;0,0000;0,0000;0,0000;-1,7657;554,5444;-1779,8217;0,5951;0,0000;0,0000;-102,2200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;25366,6506
364;1;4;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
364;1;4;EWIIS3;1,1083;-7344,5917;723,9028;0,0000;0,0000;0,0000;0,0000;-392,8222;0,0000;-0,5250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-6716,6764
364;1;4;AgentUDE;0,7500;0,0000;5171,4216;0,0000;0,0000;-411,6407;0,0000;-535,8749;0,0000;-409,5050;0,0000;0,0000;0,8489;0,0000;0,0000;0,0000;-4266,2017
364;1;4;Bunnie;0,0000;0,0000;2825,9537;-1,7657;4,8849;-10,2231;0,0000;-2088,9319;0,0000;-354,1900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8360,7642
365;1;5;default broker;0,0000;0,0000;0,0000;0,0000;936,7156;-2075,6522;0,0000;-17,3732;0,0000;-102,2200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24108,1208
365;1;5;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
365;1;5;EWIIS3;1,1083;0,0000;946,0884;0,0000;0,0000;0,0000;0,0000;-444,0312;0,0000;-0,5250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13558,6276
365;1;5;AgentUDE;0,7500;0,0000;5495,1792;0,0000;0,0000;-833,8966;110,8191;0,0000;0,0000;-409,5050;0,0000;0,0000;0,6431;0,0000;0,0000;0,0000;97,7880
365;1;5;Bunnie;0,0000;0,0000;3831,0471;0,0000;2,5144;-93,5364;0,0000;-738,9583;0,0000;-354,1900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5713,8874
366;1;6;default broker;0,0000;0,0000;0,0000;-0,0005;8,4539;0,0000;0,0000;-21,8384;0,0000;-102,2200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23992,5158
366;1;6;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
366;1;6;EWIIS3;1,1083;0,0000;1208,1735;0,0000;0,0000;0,0000;0,0000;-758,9028;0,0000;-0,5250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13108,7735
366;1;6;AgentUDE;0,7500;0,0000;6015,7905;-0,6927;0,0000;-1688,0433;555,9453;0,0000;0,0000;-409,5050;0,0000;0,0000;0,9157;0,0000;0,0000;0,0000;4572,9486
366;1;6;Bunnie;0,0000;0,0000;3859,6112;-0,0005;3,4430;-166,3574;0,0000;-2669,6981;0,0000;-354,1900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5041,0790
367;1;7;default broker;0,0000;0,0000;0,0000;-0,0013;9,3358;0,0000;0,0000;-26,2484;0,0000;-105,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23870,5370
367;1;7;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
367;1;7;EWIIS3;1,1083;0,0000;1694,2743;0,0000;0,0000;0,0000;0,0000;-1286,4213;0,0000;-0,5600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-12700,3722
367;1;7;AgentUDE;86,7500;-40,0000;6852,9676;-2,5305;0,0000;-1945,0068;672,5181;0,0000;0,0000;-409,3450;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9788,3019
367;1;7;Bunnie;10,0000;0,0000;4130,8005;-0,0012;11,7983;-176,6720;0,0000;-3505,8524;0,0000;-351,4700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-4922,4757
368;1;8;default broker;0,0000;0,0000;1,1263;-0,0018;0,0000;0,0000;0,0000;-0,3026;0,0000;-105,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23766,2939
368;1;8;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
368;1;8;EWIIS3;1,1083;0,0000;2196,9525;0,0000;0,0000;0,0000;0,0000;-1780,2509;0,0000;-0,5600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-12283,1223
368;1;8;AgentUDE;0,7500;0,0000;6970,0947;-4,8216;0,0000;-2148,0009;1042,6480;0,0000;0,0000;-409,3450;0,0000;0,0000;4,6827;0,0000;0,0000;0,0000;15244,3098
368;1;8;Bunnie;0,0000;0,0000;4268,9934;-0,0016;4,8782;-186,6454;0,0000;-3846,1648;0,0000;-351,4700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5032,8859
369;1;9;default broker;0,0000;0,0000;0,0000;-0,0027;0,0000;0,0000;0,0644;0,0000;0,0000;-105,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23661,2905
369;1;9;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
369;1;9;EWIIS3;1,1083;0,0000;2172,8193;0,0000;0,0000;0,0000;0,0000;-2874,9997;0,0000;-0,5600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-12984,7543
369;1;9;AgentUDE;0,7500;0,0000;7532,2453;-6,3141;0,0000;-3777,2780;1325,9499;0,0000;0,0000;-409,3450;0,0000;0,0000;5,3257;0,0000;0,0000;0,0000;19915,6436
369;1;9;Bunnie;0,0000;0,0000;3869,4717;-0,0024;20,0708;-171,9748;0,0000;-5743,8865;0,0000;-351,4700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7410,6771
370;1;10;default broker;0,0000;0,0000;0,0000;-0,0018;5,4213;0,0000;0,0000;-14,9886;0,0000;-105,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23546,6564
370;1;10;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
370;1;10;EWIIS3;1,1083;0,0000;2164,7032;0,0000;0,0000;0,0000;0,0000;-1777,2652;0,0000;-0,5600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-12596,7680
370;1;10;AgentUDE;0,7500;0,0000;8337,9588;-7,5800;0,0000;-2218,5778;399,2024;0,0000;0,0000;-409,3450;0,0000;0,0000;3,5294;0,0000;0,0000;0,0000;26021,5813
370;1;10;Bunnie;0,0000;0,0000;5545,5260;-0,0016;10,5042;-207,8954;0,0000;-3095,3422;0,0000;-351,4700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5509,3561
371;1;11;default broker;0,0000;0,0000;0,3611;-2,2064;0,0000;0,0000;59,8227;0,0000;0,0000;-105,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23499,5688
371;1;11;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
371;1;11;EWIIS3;1,1083;0,0000;2288,7243;0,0000;0,0000;0,0000;0,0000;-3455,2859;0,0000;-0,5600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13762,7813
371;1;11;AgentUDE;0,7500;0,0000;6257,9074;-8,4305;0,0000;-3690,6972;2414,3663;0,0000;0,0000;-409,3450;0,0000;0,0000;4,0062;0,0000;0,0000;0,0000;30590,1384
371;1;11;Bunnie;0,0000;0,0000;5576,0958;-2,2061;21,8330;0,0000;0,0000;-7584,5338;0,0000;-351,4700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7849,6372
372;1;12;default broker;0,0000;0,0000;0,0000;-2,2951;0,0000;0,0000;30,9393;0,0000;0,0000;-105,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23423,1479
372;1;12;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
372;1;12;EWIIS3;1,1083;0,0000;2210,4845;0,0000;0,0000;0,0000;0,0000;-1653,8503;0,0000;-0,5600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13205,5988
372;1;12;AgentUDE;0,7500;0,0000;6850,8176;-8,6127;0,0000;-2243,7663;1394,3476;0,0000;0,0000;-409,3450;0,0000;0,0000;3,9823;0,0000;0,0000;0,0000;36178,3120
