game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_102;360;default broker;-36720.725;0.000;0.000;-36720.725;-6856.520;-0.000;-0.000
PowerTAC_2018_Finals_102;360;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;360;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;360;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;361;default broker;-37394.373;36216.234;-1381.358;-1178.139;-91.261;-37.447;-0.000
PowerTAC_2018_Finals_102;361;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;361;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;361;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;361;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;362;default broker;252.410;-162.728;-1272.664;89.682;12.907;3.289;0.000
PowerTAC_2018_Finals_102;362;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;362;Bunnie;-26319.137;0.000;0.000;-26319.137;-3787.746;-965.287;-965.287
PowerTAC_2018_Finals_102;362;EWIIS3;-3049.704;0.000;0.000;-3049.704;-438.901;-111.852;-111.852
PowerTAC_2018_Finals_102;362;AgentUDE;-47880.360;0.000;0.000;-47886.960;-6891.702;-1756.314;-1756.314
PowerTAC_2018_Finals_102;363;default broker;228.560;-150.545;-5.905;78.015;9.325;2.538;0.000
PowerTAC_2018_Finals_102;363;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;363;Bunnie;-27909.021;-160.400;-6.186;-28069.422;-3355.147;-913.198;-913.198
PowerTAC_2018_Finals_102;363;EWIIS3;-3050.836;0.000;0.000;-3050.836;-364.667;-99.255;-99.255
PowerTAC_2018_Finals_102;363;AgentUDE;-40681.388;30647.654;-1046.931;-10040.334;-1200.125;-326.648;-326.648
PowerTAC_2018_Finals_102;364;default broker;176.570;-170.484;-2334.366;6.086;0.595;0.205;0.000
PowerTAC_2018_Finals_102;364;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;364;Bunnie;-21561.535;196.255;-15.108;-21365.281;-2088.932;-718.850;-718.850
PowerTAC_2018_Finals_102;364;EWIIS3;-4017.726;0.000;0.000;-4017.726;-392.822;-135.179;-135.179
PowerTAC_2018_Finals_102;364;AgentUDE;-44275.469;38801.221;-411.641;-5480.848;-535.875;-184.407;-184.407
PowerTAC_2018_Finals_102;365;default broker;0.000;-205.447;-3012.368;-205.447;-17.373;-7.012;-7.012
PowerTAC_2018_Finals_102;365;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;365;Bunnie;-29469.593;20731.067;-96.051;-8738.526;-738.958;-298.270;-298.270
PowerTAC_2018_Finals_102;365;EWIIS3;-5250.876;0.000;0.000;-5250.876;-444.031;-179.227;-179.227
PowerTAC_2018_Finals_102;365;AgentUDE;-41165.949;42483.036;-833.897;1310.487;110.819;44.731;0.000
PowerTAC_2018_Finals_102;366;default broker;0.050;-193.009;-8.454;-192.959;-21.838;-7.614;-7.614
PowerTAC_2018_Finals_102;366;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;366;Bunnie;-29689.267;6100.492;-169.800;-23588.775;-2669.698;-930.755;-930.755
PowerTAC_2018_Finals_102;366;EWIIS3;-6705.472;0.000;0.000;-6705.472;-758.903;-264.581;-264.581
PowerTAC_2018_Finals_102;366;AgentUDE;-39244.478;44163.270;-1688.043;4912.192;555.945;193.823;0.000
PowerTAC_2018_Finals_102;367;default broker;0.130;-191.998;-9.336;-191.868;-26.248;-8.514;-8.514
PowerTAC_2018_Finals_102;367;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;367;Bunnie;-31775.259;6148.469;-188.470;-25626.789;-3505.852;-1137.168;-1137.168
PowerTAC_2018_Finals_102;367;EWIIS3;-9403.376;0.000;0.000;-9403.376;-1286.421;-417.267;-417.267
PowerTAC_2018_Finals_102;367;AgentUDE;-40736.829;45652.746;-1945.007;4915.917;672.518;218.140;0.000
PowerTAC_2018_Finals_102;368;default broker;-2.073;0.000;0.000;-2.073;-0.303;-0.099;-0.099
PowerTAC_2018_Finals_102;368;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;368;Bunnie;-32838.231;6495.100;-191.524;-26343.131;-3846.165;-1257.944;-1257.944
PowerTAC_2018_Finals_102;368;EWIIS3;-12193.285;0.000;0.000;-12193.285;-1780.251;-582.257;-582.257
PowerTAC_2018_Finals_102;368;AgentUDE;-39378.732;46546.431;-2148.001;7141.299;1042.648;341.013;0.000
PowerTAC_2018_Finals_102;369;default broker;0.270;0.000;0.000;0.270;0.064;0.027;0.000
PowerTAC_2018_Finals_102;369;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;369;Bunnie;-29764.897;5671.850;-192.046;-24093.047;-5743.887;-2370.258;-2370.258
PowerTAC_2018_Finals_102;369;EWIIS3;-12059.344;0.000;0.000;-12059.344;-2875.000;-1186.390;-1044.208
PowerTAC_2018_Finals_102;369;AgentUDE;-41501.073;47082.643;-3777.278;5561.770;1325.950;547.163;0.000
PowerTAC_2018_Finals_102;370;default broker;0.180;-101.503;-5.421;-101.323;-14.989;-4.964;-4.964
PowerTAC_2018_Finals_102;370;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;370;Bunnie;-27727.450;6802.962;-218.400;-20924.488;-3095.342;-1025.192;-1025.192
PowerTAC_2018_Finals_102;370;EWIIS3;-12014.298;0.000;0.000;-12014.298;-1777.265;-588.639;-588.639
PowerTAC_2018_Finals_102;370;AgentUDE;-44685.965;47404.370;-2218.578;2698.605;399.202;132.218;0.000
PowerTAC_2018_Finals_102;371;default broker;219.918;0.000;0.000;219.918;59.823;25.229;0.000
PowerTAC_2018_Finals_102;371;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;371;Bunnie;-27659.839;-222.136;-21.833;-27881.975;-7584.534;-3198.585;-3198.585
PowerTAC_2018_Finals_102;371;EWIIS3;-12702.191;0.000;0.000;-12702.191;-3455.286;-1457.179;-1304.629
PowerTAC_2018_Finals_102;371;AgentUDE;-33549.386;42438.188;-3690.697;8875.601;2414.366;1018.198;0.000
PowerTAC_2018_Finals_102;372;default broker;229.510;0.000;0.000;229.510;30.939;11.433;0.000
PowerTAC_2018_Finals_102;372;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;372;Bunnie;-26307.085;11937.696;-382.431;-14369.389;-1937.077;-715.805;-715.805
PowerTAC_2018_Finals_102;372;EWIIS3;-12268.389;0.000;0.000;-12268.389;-1653.850;-611.144;-611.144
PowerTAC_2018_Finals_102;372;AgentUDE;-37343.449;47713.227;-2243.766;10343.378;1394.348;515.251;0.000
PowerTAC_2018_Finals_102;373;default broker;0.310;0.000;0.000;0.310;0.051;0.019;0.000
PowerTAC_2018_Finals_102;373;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;373;Bunnie;-27915.026;14937.902;-481.531;-12977.124;-2150.341;-810.947;-810.947
PowerTAC_2018_Finals_102;373;EWIIS3;-12505.455;0.000;0.000;-12505.455;-2072.184;-781.473;-781.473
PowerTAC_2018_Finals_102;373;AgentUDE;-37999.198;47782.720;-2379.766;9757.122;1616.779;609.728;0.000
PowerTAC_2018_Finals_102;374;default broker;225.992;0.000;0.000;225.992;50.161;19.704;0.000
PowerTAC_2018_Finals_102;374;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;374;Bunnie;-21318.547;17640.741;-574.852;-3677.806;-816.329;-320.665;-320.665
PowerTAC_2018_Finals_102;374;EWIIS3;-12828.527;0.000;0.000;-12828.527;-2847.430;-1118.510;-1118.510
PowerTAC_2018_Finals_102;374;AgentUDE;-44237.402;47824.416;-3348.989;3573.814;793.246;311.598;0.000
PowerTAC_2018_Finals_102;375;default broker;221.340;-94.746;-5.380;126.594;22.173;8.245;0.000
PowerTAC_2018_Finals_102;375;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;375;Bunnie;-27408.587;18548.244;-525.782;-8860.342;-1551.910;-577.092;-577.092
PowerTAC_2018_Finals_102;375;EWIIS3;-13285.063;0.000;0.000;-13285.063;-2326.911;-865.283;-865.283
PowerTAC_2018_Finals_102;375;AgentUDE;-44653.024;47849.434;-2366.131;3183.210;557.547;207.329;0.000
PowerTAC_2018_Finals_102;376;default broker;234.169;-156.481;-10.622;77.688;12.868;4.784;0.000
PowerTAC_2018_Finals_102;376;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;376;Bunnie;-26799.207;18195.287;-504.066;-8603.920;-1425.099;-529.799;-529.799
PowerTAC_2018_Finals_102;376;EWIIS3;-13570.336;0.000;0.000;-13570.336;-2247.705;-835.614;-835.614
PowerTAC_2018_Finals_102;376;AgentUDE;-43604.716;47864.444;-2344.113;4246.528;703.368;261.486;0.000
PowerTAC_2018_Finals_102;377;default broker;215.490;-157.000;-10.586;58.490;9.852;3.644;0.000
PowerTAC_2018_Finals_102;377;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;377;Bunnie;-25240.068;12081.164;-409.366;-13158.903;-2216.383;-819.848;-819.848
PowerTAC_2018_Finals_102;377;EWIIS3;-11739.252;0.000;0.000;-11739.252;-1977.268;-731.398;-731.398
PowerTAC_2018_Finals_102;377;AgentUDE;-41924.008;47873.450;-2330.518;5936.243;999.854;369.850;0.000
PowerTAC_2018_Finals_102;378;default broker;194.360;-164.431;-10.495;29.929;4.678;1.936;0.000
PowerTAC_2018_Finals_102;378;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_102;378;Bunnie;-21368.859;22015.437;-758.893;646.579;101.068;41.817;0.000
PowerTAC_2018_Finals_102;378;EWIIS3;-9537.711;0.000;0.000;-9537.711;-1490.854;-616.839;-616.839
PowerTAC_2018_Finals_102;378;AgentUDE;-41879.931;47878.854;-2335.134;5985.723;935.637;387.119;0.000
PowerTAC_2018_Finals_102;379;default broker;194.690;-202.813;-12.024;-8.123;-0.112;0.104;-0.623
PowerTAC_2018_Finals_102;379;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_102;379;Bunnie;-19461.112;22229.594;-778.348;2768.481;38.217;-35.407;0.000
PowerTAC_2018_Finals_102;379;EWIIS3;-7475.808;0.000;0.000;-7475.808;-103.197;95.609;-572.920
PowerTAC_2018_Finals_102;379;AgentUDE;-39585.471;47882.096;-2442.105;8296.625;114.528;-106.107;0.000
PowerTAC_2018_Finals_102;380;default broker;183.250;-153.054;-9.910;30.196;-0.190;-0.122;0.000
PowerTAC_2018_Finals_102;380;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_102;380;Bunnie;-23783.355;21672.634;-768.381;-2110.721;13.252;8.503;-123.896
PowerTAC_2018_Finals_102;380;EWIIS3;-5871.374;0.000;0.000;-5871.374;36.864;23.652;-344.641
PowerTAC_2018_Finals_102;380;AgentUDE;-26924.428;41169.266;-2278.273;14249.638;-89.740;-57.402;0.000
PowerTAC_2018_Finals_102;381;default broker;194.440;-156.020;-8.629;38.420;-0.050;-0.341;0.000
PowerTAC_2018_Finals_102;381;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_102;381;Bunnie;-21669.055;21490.451;-766.107;-178.604;0.234;1.585;-1.607
PowerTAC_2018_Finals_102;381;EWIIS3;-4607.863;0.000;0.000;-4607.863;6.044;40.898;-292.384
PowerTAC_2018_Finals_102;381;AgentUDE;-29392.242;35469.411;-2330.224;6082.985;-8.120;-53.990;0.000
PowerTAC_2018_Finals_102;382;default broker;202.287;-141.247;-8.715;61.040;7.276;3.117;0.000
