ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;Bunnie_mwh; Bunnie_price 
518; 6; 14;[-1.2208; 37.8538];[14.2242; -17.5197];[42.9004; -42.4667]
519; 6; 15;[-0.8105; 33.3623];[12.8826; -21.3918];[42.9195; -38.2248]
520; 6; 16;[-0.4637; 33.3580];[20.0699; -36.5067];[46.6477; -34.8292]
521; 6; 17;[-0.0764; 33.0605];[18.2546; -32.8490];[52.9502; -37.9852]
522; 6; 18;[-0.0545; 31.1373];[20.4134; -32.6026];[40.4672; -27.4863]
523; 6; 19;[-0.0920; 32.7929];[18.9670; -33.4414];[37.2959; -36.2669]
524; 6; 20;[-0.0580; 31.7456];[13.8060; -33.0129];[48.8570; -37.6443]
525; 6; 21;[-0.1442; 33.3384];[12.8499; -31.2079];[38.0557; -39.3434]
526; 6; 22;[-0.1370; 30.4308];[17.3474; -29.1942];[32.2177; -30.9390]
527; 6; 23;[-0.1397; 31.7252];[15.1940; -26.8460];[36.1969; -32.0336]
528; 7; 0;[-0.1450; 30.1593];[15.4856; -22.9475];[49.7229; -23.3380]
529; 7; 1;[-0.0648; 30.9523];[17.1452; -26.5694];[51.6512; -28.9701]
530; 7; 2;[-0.0604; 32.1872];[23.4694; -28.4707];[33.9746; -30.6548]
531; 7; 3;[-0.2104; 35.3220];[23.6412; -27.7030];[36.4023; -31.1643]
532; 7; 4;[-0.0632; 33.2389];[30.3910; -28.8459];[32.1221; -29.5442]
533; 7; 5;[-0.0634; 29.7184];[27.8937; -27.7783];[33.1989; -30.1681]
534; 7; 6;[-0.3146; 33.0431];[33.5888; -33.4782];[42.8435; -35.1277]
535; 7; 7;[-1.1263; 33.1414];[31.9234; -33.3876];[45.4847; -36.6761]
536; 7; 8;[-1.8585; 37.6326];[21.3366; -37.8690];[32.8173; -39.6631]
537; 7; 9;[-2.4766; 37.6879];[0.4863; -28.7759];[8.7720; -36.3239]
538; 7; 10;[-1.5238; 38.4771];[9.6538; -20.7663];[29.6329; -43.8468]
539; 7; 11;[-2.7135; 37.7365];[29.1065; -34.4169];[23.8989; -43.3843]
