ts; dow; hod;default broker_mwh; default broker_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
373; 1; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[47.7827; -49.8039];[14.9379; -31.4505]
374; 1; 14;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[47.8244; -70.0268];[17.6407; -32.0863]
375; 1; 15;[-0.0947; 56.7821];[0.0000; 0.0000];[0.0000; 0.0000];[47.8494; -49.4495];[18.5482; -28.3467]
376; 1; 16;[-0.1565; 57.3059];[0.0000; 0.0000];[0.0000; 0.0000];[47.8644; -48.9740];[18.1953; -27.7031]
377; 1; 17;[-0.1570; 56.4053];[0.0000; 0.0000];[0.0000; 0.0000];[47.8735; -48.6808];[12.0812; -33.8846]
378; 1; 18;[-0.1644; 57.2485];[0.0000; 0.0000];[0.0000; 0.0000];[47.8789; -48.7717];[22.0154; -34.4710]
379; 1; 19;[-0.2028; 59.2876];[0.0000; 0.0000];[0.0000; 0.0000];[47.8821; -51.0025];[22.2296; -35.0140]
380; 1; 20;[-0.1531; 54.7553];[0.0000; 0.0000];[0.0000; 0.0000];[41.1693; -55.3392];[21.6726; -35.4540]
381; 1; 21;[-0.1560; 55.3081];[0.0000; 0.0000];[0.0000; 0.0000];[35.4694; -65.6967];[21.4905; -35.6487]
382; 1; 22;[-0.1412; 52.8277];[0.0000; 0.0000];[0.0000; 0.0000];[33.0362; -66.3293];[23.9124; -14.2669]
383; 1; 23;[-0.1620; 30.7726];[0.0000; 0.0000];[0.0000; 0.0000];[33.6252; -55.9685];[12.7730; -41.8034]
384; 2; 0;[-0.1610; 36.3706];[0.0000; 0.0000];[0.0000; 0.0000];[44.1440; -45.7082];[18.3441; -19.3858]
385; 2; 1;[-0.1625; 45.2307];[0.0000; 0.0000];[0.0000; 0.0000];[35.0309; -55.6193];[21.8577; -30.1863]
386; 2; 2;[-0.1363; 44.9442];[0.0000; 0.0000];[0.0000; 0.0000];[35.9249; -42.1995];[19.7336; -37.4529]
387; 2; 3;[-0.1345; 38.2318];[0.0000; 0.0000];[0.0000; 0.0000];[37.4898; -43.3474];[26.1528; -32.4505]
388; 2; 4;[-0.1325; 51.9551];[0.0000; 0.0000];[0.0000; 0.0000];[43.6624; -43.0913];[2.9136; -33.6267]
389; 2; 5;[-0.1299; 50.1336];[0.0000; 0.0000];[0.0000; 0.0000];[43.1992; -48.6931];[2.6222; -33.8297]
390; 2; 6;[-0.1313; 52.3798];[0.0000; 0.0000];[0.0000; 0.0000];[53.9758; -43.8978];[2.1482; -34.2006]
391; 2; 7;[-0.1042; 55.8047];[0.0000; 0.0000];[0.0000; 0.0000];[43.1305; -81.9533];[0.0000; 0.0000]
392; 2; 8;[-0.1156; 54.2255];[0.0000; 0.0000];[0.0000; 0.0000];[43.7518; -50.0525];[1.7401; -34.6793]
393; 2; 9;[-0.1270; 62.4965];[0.0000; 0.0000];[0.0000; 0.0000];[45.1267; -90.8140];[1.1890; -29.4808]
394; 2; 10;[-0.1318; 67.2632];[0.0000; 0.0000];[0.0000; 0.0000];[47.3929; -88.5811];[2.7237; -30.0902]
395; 2; 11;[-0.1127; 39.3162];[0.0000; 0.0000];[0.0000; 0.0000];[43.8069; -45.8618];[6.2816; -31.8549]
396; 2; 12;[-0.1208; 45.8465];[0.0000; 0.0000];[0.0000; 0.0000];[55.4136; -44.4641];[7.2235; -32.2607]
397; 2; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[44.5989; -68.3761];[6.2168; -32.0579]
