game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_2;360;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;360;SPOT;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;360;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;360;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;360;VidyutVanika;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;360;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;360;default broker;-32703.282;0.000;0.000;-32703.282;-5974.997;-0.000;-0.000
PowerTAC_2018_Finals_2;361;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;361;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;361;SPOT;0.000;2707.755;-52.549;2707.755;112.600;50.943;0.000
PowerTAC_2018_Finals_2;361;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;361;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;361;VidyutVanika;0.000;180.000;-4.658;180.000;7.485;3.386;0.000
PowerTAC_2018_Finals_2;361;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;361;default broker;-32161.825;26503.822;-514.358;-5658.003;-235.283;-106.449;-0.000
PowerTAC_2018_Finals_2;362;CrocodileAgent;-317.340;0.000;0.000;-317.340;-21.149;-7.751;-7.751
PowerTAC_2018_Finals_2;362;Bunnie;-21922.560;0.000;0.000;-21922.560;-1461.008;-535.474;-535.474
PowerTAC_2018_Finals_2;362;SPOT;0.000;2683.608;-65.584;2683.608;178.846;65.549;0.000
PowerTAC_2018_Finals_2;362;AgentUDE;-26620.893;0.000;0.000;-26620.893;-1774.124;-650.234;-650.234
PowerTAC_2018_Finals_2;362;EWIIS3;-11404.723;8863.100;-216.602;-2541.622;-169.384;-62.081;-62.081
PowerTAC_2018_Finals_2;362;VidyutVanika;-2812.374;402.269;-22.361;-2410.105;-160.619;-58.869;-58.869
PowerTAC_2018_Finals_2;362;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;362;default broker;0.000;33362.138;-667.061;33362.138;2223.387;814.894;0.000
PowerTAC_2018_Finals_2;363;CrocodileAgent;-324.266;0.000;0.000;-324.266;-2.669;1.725;-8.374
PowerTAC_2018_Finals_2;363;Bunnie;-24548.490;0.000;0.000;-24548.490;-202.077;130.560;-633.953
PowerTAC_2018_Finals_2;363;SPOT;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_2;363;AgentUDE;-21194.693;17037.372;-440.033;-4157.321;-34.222;22.111;-107.361
PowerTAC_2018_Finals_2;363;EWIIS3;-10910.730;6499.832;-281.160;-4410.898;-36.309;23.459;-113.909
PowerTAC_2018_Finals_2;363;VidyutVanika;-2833.500;451.925;-36.911;-2381.574;-19.604;12.666;-61.503
PowerTAC_2018_Finals_2;363;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_2;363;default broker;0.000;40504.566;-1057.699;40504.566;333.423;-215.422;0.000
PowerTAC_2018_Finals_2;364;CrocodileAgent;-337.393;181.188;-4.789;-156.205;-13.953;-4.236;-4.236
PowerTAC_2018_Finals_2;364;Bunnie;-26650.740;2882.867;-60.459;-23767.873;-2123.118;-644.563;-644.563
PowerTAC_2018_Finals_2;364;SPOT;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_2;364;AgentUDE;-23532.892;20870.780;-551.680;-2662.112;-237.799;-72.194;-72.194
PowerTAC_2018_Finals_2;364;EWIIS3;-12045.487;5367.289;-197.033;-6678.198;-596.545;-181.107;-181.107
PowerTAC_2018_Finals_2;364;VidyutVanika;-3694.790;498.180;-48.500;-3196.610;-285.544;-86.689;-86.689
PowerTAC_2018_Finals_2;364;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
