game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_4;360;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;360;SPOT;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;360;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;360;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;360;VidyutVanika;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;360;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;360;default broker;-35907.494;0.000;0.000;-35907.494;-6675.472;-0.000;-0.000
PowerTAC_2018_Finals_4;361;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;361;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;361;SPOT;0.000;2768.795;-72.214;2768.795;145.552;70.593;0.000
PowerTAC_2018_Finals_4;361;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;361;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;361;VidyutVanika;0.000;160.000;-6.260;160.000;8.411;4.079;0.000
PowerTAC_2018_Finals_4;361;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;361;default broker;-33801.514;30466.637;-794.611;-3334.877;-175.310;-85.026;-0.000
PowerTAC_2018_Finals_4;362;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;362;Bunnie;-34347.242;0.000;0.000;-34347.242;-3988.931;-1005.832;-1005.832
PowerTAC_2018_Finals_4;362;SPOT;-79.410;2714.327;-83.461;2634.917;306.007;77.161;0.000
PowerTAC_2018_Finals_4;362;AgentUDE;-20046.740;0.000;0.000;-20073.140;-2331.202;-587.826;-587.826
PowerTAC_2018_Finals_4;362;EWIIS3;-6291.625;3456.328;-106.277;-2835.297;-329.278;-83.029;-83.029
PowerTAC_2018_Finals_4;362;VidyutVanika;-462.310;444.523;-28.946;-17.787;-2.066;-0.521;-0.521
PowerTAC_2018_Finals_4;362;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;362;default broker;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;363;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;363;Bunnie;-37383.485;0.000;0.000;-37383.485;-2763.113;-1173.675;-1173.675
PowerTAC_2018_Finals_4;363;SPOT;-63.970;0.000;0.000;-63.970;-4.728;-2.008;-2.008
PowerTAC_2018_Finals_4;363;AgentUDE;-16021.116;12846.810;-420.848;-3200.706;-236.573;-100.488;-100.488
PowerTAC_2018_Finals_4;363;EWIIS3;-6210.698;2266.411;-124.264;-3944.286;-291.533;-123.833;-123.833
PowerTAC_2018_Finals_4;363;VidyutVanika;-708.510;481.805;-43.056;-226.705;-16.756;-7.118;-7.118
PowerTAC_2018_Finals_4;363;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;363;default broker;0.000;36424.437;-975.108;36424.437;2692.227;1143.565;0.000
PowerTAC_2018_Finals_4;364;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;364;Bunnie;-38833.054;34347.242;-1006.650;-4485.812;-320.345;-130.542;-130.542
PowerTAC_2018_Finals_4;364;SPOT;-56.910;83.305;-2.441;26.395;1.885;0.768;0.000
PowerTAC_2018_Finals_4;364;AgentUDE;-19067.397;15861.411;-465.763;-3232.386;-230.834;-94.066;-94.066
PowerTAC_2018_Finals_4;364;EWIIS3;-7307.680;2205.357;-96.037;-5102.323;-364.372;-148.484;-148.484
PowerTAC_2018_Finals_4;364;VidyutVanika;-470.590;581.767;-57.459;111.177;7.939;3.235;0.000
PowerTAC_2018_Finals_4;364;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;364;default broker;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_4;365;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_4;365;Bunnie;-33343.278;845.259;-22.062;-32498.019;-71.466;1017.873;-1355.740
PowerTAC_2018_Finals_4;365;SPOT;-52.710;94.834;-2.475;42.124;0.093;-1.319;0.000
PowerTAC_2018_Finals_4;365;AgentUDE;-18005.447;17778.721;-744.911;-226.726;-0.499;7.101;-9.458
PowerTAC_2018_Finals_4;365;EWIIS3;-8986.105;2506.631;-145.144;-6479.474;-14.249;202.944;-270.308
PowerTAC_2018_Finals_4;365;VidyutVanika;-428.880;652.921;-75.408;224.041;0.493;-7.017;0.000
PowerTAC_2018_Finals_4;365;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_4;365;default broker;0.000;49789.414;-1964.992;49789.414;109.491;-1559.458;0.000
PowerTAC_2018_Finals_4;366;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
