ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;SPOT_mwh; SPOT_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;VidyutVanika_mwh; VidyutVanika_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
361; 4; 1;[38.2604; -32.7635];[0.0000; 0.0000];[3.1475; -32.7635];[0.0000; 0.0000];[0.0000; 0.0000];[0.1400; -32.7635];[0.0000; 0.0000];[0.0000; 0.0000]
362; 4; 2;[39.8312; -27.4483];[0.0000; 0.0000];[3.1952; -32.3446];[0.0000; 0.0000];[3.6492; -32.3446];[0.3459; -32.3446];[0.0000; 0.0000];[0.0000; 0.0000]
363; 4; 3;[43.3912; -26.3120];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[2.9265; -35.6987];[0.6388; -22.0470];[7.5816; -7.5348];[0.0000; 0.0000]
364; 4; 4;[0.0000; 0.0000];[0.0000; 0.0000];[0.7732; -31.3478];[0.0000; 0.0000];[1.9126; -30.5978];[0.8085; -19.4403];[9.3106; -31.9231];[48.5895; -31.3478]
365; 4; 5;[63.1801; -32.9993];[0.0000; 0.0000];[0.9915; -27.2726];[0.0000; 0.0000];[2.2246; -34.5695];[0.9382; -33.5449];[10.5993; -36.2103];[4.7996; -27.2726]
366; 4; 6;[0.0000; 0.0000];[0.0000; 0.0000];[0.9021; -35.3920];[0.0000; 0.0000];[4.9728; -35.6757];[0.7011; -32.8646];[10.9252; -35.4384];[5.4455; -32.5662]
367; 4; 7;[0.0000; 0.0000];[0.0000; 0.0000];[1.0853; -42.0305];[0.0000; 0.0000];[6.6603; -43.0149];[0.9038; -28.4476];[11.8266; -40.9656];[5.3353; -33.3444]
368; 4; 8;[0.0000; 0.0000];[0.0000; 0.0000];[1.3973; -39.6452];[0.0000; 0.0000];[9.1661; -40.2731];[1.2639; -24.8512];[12.4883; -39.5926];[4.6888; -28.7945]
369; 4; 9;[0.0000; 0.0000];[0.0000; 0.0000];[0.2595; -41.6251];[0.0000; 0.0000];[12.4010; -41.7231];[1.2068; -28.0161];[12.4986; -41.4763];[5.2672; -29.4387]
370; 4; 10;[0.0000; 0.0000];[0.0000; 0.0000];[0.2413; -31.3033];[0.0000; 0.0000];[11.7526; -43.6772];[1.1836; -32.3253];[12.5048; -42.1341];[4.3753; -30.1378]
371; 4; 11;[0.0000; 0.0000];[0.0000; 0.0000];[0.2072; -65.1777];[0.0000; 0.0000];[9.0067; -65.1777];[0.9791; -37.6872];[12.5085; -60.4268];[3.3458; -30.5504]
372; 4; 12;[0.0000; 0.0000];[0.0000; 0.0000];[0.2094; -32.8175];[0.0000; 0.0000];[9.2020; -55.5744];[1.1020; -35.8471];[12.5107; -47.7339];[9.9158; -17.4341]
373; 4; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.2755; -33.5364];[0.0000; 0.0000];[9.7254; -22.5922];[1.2023; -42.2363];[12.5121; -56.6007];[3.6902; -32.3893]
374; 4; 14;[0.0000; 0.0000];[0.0000; 0.0000];[0.3187; -44.8160];[0.0000; 0.0000];[12.9706; -18.4133];[1.0054; -50.9750];[12.5129; -44.2857];[11.6489; -23.2481]
