game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_245;375;CrocodileAgent;-13088.491;12685.345;-456.914;-403.147;-34.162;-16.336;-3.628
PowerTAC_2018_Finals_245;375;Bunnie;-49394.087;48095.411;-2100.330;-1298.676;-110.047;-52.623;-52.623
PowerTAC_2018_Finals_245;375;default broker;354.950;-1067.157;-52.285;-712.207;-60.351;-28.859;-28.859
PowerTAC_2018_Finals_245;376;CrocodileAgent;-12519.670;14149.202;-518.020;1629.532;174.854;69.478;0.000
PowerTAC_2018_Finals_245;376;Bunnie;-50029.523;40805.513;-2351.389;-9224.010;-989.766;-393.280;-393.280
PowerTAC_2018_Finals_245;376;default broker;188.950;-1377.469;-68.709;-1188.519;-127.532;-50.674;-50.674
PowerTAC_2018_Finals_245;377;CrocodileAgent;-10776.522;2428.341;-48.556;-8348.181;-1074.264;-367.730;-367.730
PowerTAC_2018_Finals_245;377;Bunnie;-55033.763;40283.054;-1863.886;-14750.709;-1898.157;-649.756;-649.756
PowerTAC_2018_Finals_245;377;default broker;31.030;-301.180;-24.504;-270.150;-34.764;-11.900;-11.900
PowerTAC_2018_Finals_245;378;CrocodileAgent;-9024.010;0.000;0.000;-9024.010;-1412.792;-402.223;-402.223
PowerTAC_2018_Finals_245;378;Bunnie;-43321.822;2430.108;-88.448;-40891.714;-6401.974;-1822.646;-1822.646
PowerTAC_2018_Finals_245;378;default broker;0.000;-91.369;-13.672;-91.369;-14.305;-4.073;-4.073
PowerTAC_2018_Finals_245;379;CrocodileAgent;-7365.655;6294.097;-125.573;-1071.557;13.296;2.126;-45.974
PowerTAC_2018_Finals_245;379;Bunnie;-39378.130;54939.911;-3475.689;15561.780;-193.088;-30.880;0.000
PowerTAC_2018_Finals_245;379;default broker;0.000;-95.846;-9.298;-95.846;1.189;0.190;-4.112
PowerTAC_2018_Finals_245;380;CrocodileAgent;-6972.780;5590.912;-68.423;-1381.868;15.005;1.828;-12.437
PowerTAC_2018_Finals_245;380;Bunnie;-41952.513;54840.619;-2583.891;12888.106;-139.948;-17.046;0.000
PowerTAC_2018_Finals_245;380;default broker;-1.016;-95.421;-12.519;-96.437;1.047;0.128;-0.868
PowerTAC_2018_Finals_245;381;CrocodileAgent;-6171.709;0.000;0.000;-6171.709;-706.970;-280.228;-280.228
PowerTAC_2018_Finals_245;381;Bunnie;-38997.576;39317.797;-1719.191;320.221;36.681;14.540;0.000
PowerTAC_2018_Finals_245;381;default broker;226.460;-64.643;-8.385;161.817;18.536;7.347;0.000
PowerTAC_2018_Finals_245;382;CrocodileAgent;-6461.826;9699.245;-350.557;3237.419;-68.805;-18.413;0.000
PowerTAC_2018_Finals_245;382;Bunnie;-36668.567;54676.152;-2595.022;18007.585;-382.713;-102.421;0.000
PowerTAC_2018_Finals_245;382;default broker;250.360;-112.824;-11.344;137.536;-2.923;-0.782;0.000
PowerTAC_2018_Finals_245;383;CrocodileAgent;-8418.960;10402.409;-328.462;1983.449;-11.244;-12.442;0.000
PowerTAC_2018_Finals_245;383;Bunnie;-37457.044;41871.571;-2809.545;4414.528;-25.025;-27.693;0.000
PowerTAC_2018_Finals_245;383;default broker;251.440;-93.757;-7.199;157.683;-0.894;-0.989;0.000
PowerTAC_2018_Finals_245;384;CrocodileAgent;-11645.537;10166.104;-335.734;-1479.433;-123.468;-55.131;-55.131
PowerTAC_2018_Finals_245;384;Bunnie;-42855.012;36842.646;-2064.393;-6012.367;-501.771;-224.050;-224.050
PowerTAC_2018_Finals_245;384;default broker;253.370;-98.076;-9.502;155.294;12.960;5.787;0.000
PowerTAC_2018_Finals_245;385;CrocodileAgent;-13181.580;10486.258;-330.299;-2695.322;-271.365;-100.207;-100.207
PowerTAC_2018_Finals_245;385;Bunnie;-47634.562;37554.269;-2175.414;-10080.293;-1014.883;-374.768;-374.768
PowerTAC_2018_Finals_245;385;default broker;0.000;-84.566;-6.546;-84.566;-8.514;-3.144;-3.144
PowerTAC_2018_Finals_245;386;CrocodileAgent;-9342.020;11539.334;-365.033;2197.314;221.365;85.200;0.000
PowerTAC_2018_Finals_245;386;Bunnie;-53733.095;44626.470;-1692.520;-9106.624;-917.433;-353.107;-353.107
PowerTAC_2018_Finals_245;386;default broker;0.000;-103.491;-11.777;-103.491;-10.426;-4.013;-4.013
PowerTAC_2018_Finals_245;387;CrocodileAgent;-12095.560;11415.226;-361.946;-680.334;-69.218;-27.567;-27.567
PowerTAC_2018_Finals_245;387;Bunnie;-56741.355;46427.009;-1711.743;-10314.345;-1049.394;-417.940;-417.940
PowerTAC_2018_Finals_245;387;default broker;232.880;-76.245;-8.699;156.635;15.936;6.347;0.000
PowerTAC_2018_Finals_245;388;CrocodileAgent;-9548.640;15329.368;-571.796;5780.728;782.083;243.015;0.000
PowerTAC_2018_Finals_245;388;Bunnie;-49705.523;9246.753;-250.948;-40458.770;-5473.724;-1700.842;-1700.842
PowerTAC_2018_Finals_245;388;default broker;0.000;-71.833;-9.398;-71.833;-9.718;-3.020;-3.020
PowerTAC_2018_Finals_245;389;CrocodileAgent;-13634.940;15304.492;-486.962;1669.552;181.626;67.521;0.000
PowerTAC_2018_Finals_245;389;Bunnie;-64519.098;50754.644;-1897.412;-13764.453;-1497.400;-556.673;-556.673
PowerTAC_2018_Finals_245;389;default broker;0.000;-78.645;-8.683;-78.645;-8.556;-3.181;-3.181
PowerTAC_2018_Finals_245;390;CrocodileAgent;-12716.930;21246.360;-793.119;8529.430;1248.469;364.544;0.000
PowerTAC_2018_Finals_245;390;Bunnie;-60722.127;8558.588;-241.715;-52163.539;-7635.277;-2229.445;-2229.445
PowerTAC_2018_Finals_245;390;default broker;275.750;-153.241;-11.115;122.509;17.932;5.236;0.000
PowerTAC_2018_Finals_245;391;CrocodileAgent;-14682.015;7080.828;-218.468;-7601.187;-1418.266;-361.729;-361.729
PowerTAC_2018_Finals_245;391;Bunnie;-66891.482;1999.486;-67.733;-64891.996;-12107.860;-3088.115;-3088.115
PowerTAC_2018_Finals_245;391;default broker;400.150;-581.445;-28.301;-181.295;-33.827;-8.628;-8.628
PowerTAC_2018_Finals_245;392;CrocodileAgent;-17069.289;6463.891;-195.408;-10605.398;-1926.516;-464.544;-464.544
PowerTAC_2018_Finals_245;392;Bunnie;-68749.644;3439.474;-109.240;-65310.170;-11863.875;-2860.753;-2860.753
PowerTAC_2018_Finals_245;392;default broker;355.620;-1044.684;-49.394;-689.064;-125.171;-30.183;-30.183
PowerTAC_2018_Finals_245;393;CrocodileAgent;-17014.820;4602.988;-142.980;-12411.832;-3033.842;-1161.167;-862.385
PowerTAC_2018_Finals_245;393;Bunnie;-68996.211;4421.550;-95.420;-64574.662;-15784.080;-6041.171;-6041.171
PowerTAC_2018_Finals_245;393;default broker;691.420;-1382.277;-91.986;-690.857;-168.867;-64.632;-48.001
PowerTAC_2018_Finals_245;394;CrocodileAgent;-17428.578;5615.115;-158.943;-11813.463;-2233.361;-898.901;-615.303
PowerTAC_2018_Finals_245;394;Bunnie;-54523.555;3358.805;-106.517;-51164.750;-9672.807;-3893.188;-3275.099
PowerTAC_2018_Finals_245;394;default broker;545.540;-1615.663;-74.793;-1070.123;-202.309;-81.427;-55.737
PowerTAC_2018_Finals_245;395;CrocodileAgent;-17346.425;4113.522;-110.763;-13232.903;-2225.555;-633.411;-633.411
PowerTAC_2018_Finals_245;395;Bunnie;-43869.572;4863.105;-152.764;-39006.467;-6560.242;-1867.098;-1867.098
PowerTAC_2018_Finals_245;395;default broker;620.420;-1685.185;-77.203;-1064.765;-179.076;-50.966;-50.966
PowerTAC_2018_Finals_245;396;CrocodileAgent;-16527.470;5423.627;-165.808;-11103.843;-1818.410;-519.494;-519.494
PowerTAC_2018_Finals_245;396;Bunnie;-48010.607;5605.643;-183.667;-42404.964;-6944.406;-1983.917;-1983.917
PowerTAC_2018_Finals_245;396;default broker;3992.190;-1995.891;-92.916;1996.299;326.922;93.397;0.000
PowerTAC_2018_Finals_245;397;CrocodileAgent;-14003.179;3955.708;-125.264;-10047.471;-1695.678;-479.712;-479.712
PowerTAC_2018_Finals_245;397;Bunnie;-50413.117;7217.373;-237.617;-43195.745;-7289.999;-2062.361;-2062.361
PowerTAC_2018_Finals_245;397;default broker;938.190;-1874.676;-97.065;-936.486;-158.048;-44.712;-44.712
PowerTAC_2018_Finals_245;398;CrocodileAgent;-17570.797;0.000;0.000;-17570.797;-3392.849;-1239.222;-1028.162
PowerTAC_2018_Finals_245;398;Bunnie;-47420.502;11195.143;-368.684;-36225.359;-6994.968;-2554.878;-2554.878
PowerTAC_2018_Finals_245;398;default broker;2499.590;-1362.435;-87.229;1137.155;219.580;80.201;0.000
PowerTAC_2018_Finals_245;399;CrocodileAgent;-15832.810;0.000;0.000;-15832.810;-3430.154;-1285.731;-1093.286
PowerTAC_2018_Finals_245;399;Bunnie;-47949.065;11322.799;-375.989;-36626.265;-7935.025;-2974.299;-2974.299
PowerTAC_2018_Finals_245;399;default broker;2544.468;-1009.256;-78.009;1535.212;332.601;124.670;0.000
PowerTAC_2018_Finals_245;400;CrocodileAgent;-16094.060;0.000;0.000;-16094.060;-2157.851;-757.168;-757.168
PowerTAC_2018_Finals_245;400;Bunnie;-51967.519;46062.761;-1913.028;-5904.759;-791.695;-277.798;-277.798
PowerTAC_2018_Finals_245;400;default broker;1425.850;-368.623;-17.954;1057.227;141.750;49.739;0.000
PowerTAC_2018_Finals_245;401;CrocodileAgent;-14516.686;0.000;0.000;-14516.686;-2642.030;-953.269;-777.223
PowerTAC_2018_Finals_245;401;Bunnie;-51543.543;9894.554;-337.348;-41648.989;-7580.095;-2734.970;-2734.970
PowerTAC_2018_Finals_245;401;default broker;198.740;-149.786;-8.069;48.954;8.910;3.215;0.000
PowerTAC_2018_Finals_245;402;CrocodileAgent;-12061.918;0.000;0.000;-12061.918;-2525.661;-966.060;-821.694
PowerTAC_2018_Finals_245;402;Bunnie;-47638.992;11411.735;-395.910;-36227.257;-7585.674;-2901.505;-2901.505
PowerTAC_2018_Finals_245;402;default broker;215.651;-111.298;-5.996;104.354;21.851;8.358;0.000
PowerTAC_2018_Finals_245;403;CrocodileAgent;-9837.494;0.000;0.000;-9837.494;-2136.656;-809.790;-691.272
PowerTAC_2018_Finals_245;403;Bunnie;-52912.430;11735.647;-407.800;-41176.783;-8943.398;-3389.538;-3389.538
PowerTAC_2018_Finals_245;403;default broker;204.753;-169.805;-9.553;34.949;7.591;2.877;0.000
PowerTAC_2018_Finals_245;404;CrocodileAgent;-8074.782;0.000;0.000;-8074.782;-1312.184;-463.560;-463.560
PowerTAC_2018_Finals_245;404;Bunnie;-44638.199;26500.222;-1077.899;-18137.977;-2947.493;-1041.271;-1041.271
PowerTAC_2018_Finals_245;404;default broker;171.700;-116.237;-5.807;55.463;9.013;3.184;0.000
PowerTAC_2018_Finals_245;405;CrocodileAgent;-6773.090;5171.570;-88.847;-1601.520;-178.736;-72.522;-72.522
PowerTAC_2018_Finals_245;405;Bunnie;-43210.444;41759.844;-2083.700;-1450.600;-161.893;-65.688;-65.688
PowerTAC_2018_Finals_245;405;default broker;217.920;-79.974;-3.352;137.946;15.395;6.247;0.000
PowerTAC_2018_Finals_245;406;CrocodileAgent;-6619.880;5661.754;-193.728;-958.126;-97.373;-38.798;-8.623
PowerTAC_2018_Finals_245;406;Bunnie;-43515.685;39923.481;-2078.933;-3592.204;-365.072;-145.461;-145.461
PowerTAC_2018_Finals_245;406;default broker;202.160;-79.305;-4.152;122.855;12.486;4.975;0.000
PowerTAC_2018_Finals_245;407;CrocodileAgent;-8629.470;4616.423;-94.363;-4013.047;1.458;8.809;-171.457
PowerTAC_2018_Finals_245;407;Bunnie;-35537.659;40577.573;-2174.429;5039.914;-1.831;-11.063;0.000
PowerTAC_2018_Finals_245;407;default broker;230.250;-80.429;-3.408;149.821;-0.054;-0.329;0.000
PowerTAC_2018_Finals_245;408;CrocodileAgent;-10323.040;5098.589;-184.573;-5224.451;-537.183;-212.435;-212.435
PowerTAC_2018_Finals_245;408;Bunnie;-48876.992;42970.235;-1624.308;-5906.758;-607.338;-240.178;-240.178
PowerTAC_2018_Finals_245;408;default broker;227.310;-83.149;-3.594;144.161;14.823;5.862;0.000
PowerTAC_2018_Finals_245;409;CrocodileAgent;-11744.720;6842.451;-211.447;-4902.269;-500.740;-177.707;-177.707
PowerTAC_2018_Finals_245;409;Bunnie;-57682.733;46717.020;-1636.348;-10965.713;-1120.088;-397.508;-397.508
PowerTAC_2018_Finals_245;409;default broker;195.050;-54.216;-1.737;140.834;14.385;5.105;0.000
PowerTAC_2018_Finals_245;410;CrocodileAgent;-9963.360;5585.678;-174.301;-4377.682;-400.944;-166.599;-166.599
PowerTAC_2018_Finals_245;410;Bunnie;-55904.584;51867.164;-1886.900;-4037.420;-369.780;-153.650;-153.650
PowerTAC_2018_Finals_245;410;default broker;165.580;-92.409;-3.435;73.171;6.702;2.785;0.000
PowerTAC_2018_Finals_245;411;CrocodileAgent;-10060.180;6209.345;-192.300;-3850.835;21.205;39.529;-146.209
PowerTAC_2018_Finals_245;411;Bunnie;-47146.298;56765.812;-2045.729;9619.514;-52.971;-98.745;0.000
PowerTAC_2018_Finals_245;411;default broker;157.130;-92.901;-3.567;64.229;-0.354;-0.659;0.000
PowerTAC_2018_Finals_245;412;CrocodileAgent;-5080.970;9553.352;-291.400;4472.382;-37.188;-24.885;0.000
PowerTAC_2018_Finals_245;412;Bunnie;-47429.132;51255.979;-1899.871;3826.847;-31.821;-21.293;0.000
