ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;SPOT_mwh; SPOT_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;VidyutVanika_mwh; VidyutVanika_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
361; 1; 1;[35.7877; -28.3912];[0.0000; 0.0000];[3.1357; -28.3912];[0.0000; 0.0000];[0.0000; 0.0000];[0.1500; -28.3912];[0.0000; 0.0000];[0.0000; 0.0000]
362; 1; 2;[38.2972; -27.0639];[0.0000; 0.0000];[3.2516; -28.6944];[0.0000; 0.0000];[19.1050; -28.6944];[0.1776; -29.0617];[0.0000; 0.0000];[0.0000; 0.0000]
363; 1; 3;[43.2274; -28.1535];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[13.8451; -34.4467];[0.1793; -35.5278];[18.3048; -34.5108];[0.0000; 0.0000]
364; 1; 4;[55.2009; -28.4978];[0.0000; 0.0000];[0.1139; -26.2500];[0.0000; 0.0000];[5.8733; -34.2375];[0.2484; -29.4856];[22.4233; -29.7689];[8.5740; -26.2500]
365; 1; 5;[0.0000; 0.0000];[0.0000; 0.0000];[0.1195; -26.2500];[0.0000; 0.0000];[10.3227; -37.1253];[0.2703; -27.9098];[24.1124; -32.9162];[0.0000; 0.0000]
366; 1; 6;[53.1925; -39.5391];[0.0000; 0.0000];[0.0360; -45.3190];[0.0000; 0.0000];[20.8262; -42.0447];[0.1747; -65.2145];[25.5818; -43.3514];[0.0000; 0.0000]
367; 1; 7;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[22.6538; -51.6612];[0.2535; -4.4922];[24.8810; -53.0983];[4.2325; -32.2978]
368; 1; 8;[0.0000; 0.0000];[0.0000; 0.0000];[0.1129; -26.2500];[0.0000; 0.0000];[27.5527; -47.0646];[0.0991; -18.1416];[24.9502; -45.1255];[9.7989; -28.4557]
369; 1; 9;[0.0000; 0.0000];[0.0000; 0.0000];[0.1036; -80.6773];[0.0000; 0.0000];[39.0028; -79.2212];[-0.1274; 290.3439];[27.3622; -56.6716];[2.3074; -34.1080]
370; 1; 10;[0.0000; 0.0000];[0.0000; 0.0000];[0.0761; -51.5783];[0.0000; 0.0000];[28.8555; -51.5783];[0.0917; 95.2231];[30.0598; -52.7999];[5.6029; -35.2234]
371; 1; 11;[0.0000; 0.0000];[0.0000; 0.0000];[0.0900; -48.2851];[0.0000; 0.0000];[22.6697; -43.9762];[0.2029; -28.1679];[31.1042; -45.0671];[5.6930; -35.9007]
372; 1; 12;[0.0000; 0.0000];[0.0000; 0.0000];[0.0695; -51.4898];[0.0000; 0.0000];[13.9613; -51.4898];[0.2400; -25.6791];[31.1053; -51.7347];[3.3391; -36.7016]
373; 1; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.0704; -43.2989];[0.0000; 0.0000];[18.2104; -46.5807];[0.2819; -65.3285];[31.1060; -42.3933];[6.2082; -33.3497]
374; 1; 14;[0.0000; 0.0000];[0.0000; 0.0000];[0.1025; -51.7010];[0.0000; 0.0000];[18.6210; -51.7010];[0.2724; -36.0190];[31.1064; -52.5138];[4.8897; -38.1351]
375; 1; 15;[0.0000; 0.0000];[0.0000; 0.0000];[0.1013; -51.1722];[0.0000; 0.0000];[22.0386; -51.1722];[0.2747; -30.0943];[33.3303; -51.1498];[6.8097; -31.7623]
376; 1; 16;[0.0000; 0.0000];[0.0000; 0.0000];[0.1079; -78.8312];[0.0000; 0.0000];[24.4771; -77.4739];[0.1259; 132.2983];[34.0250; -64.6504];[2.4297; -39.6242]
377; 1; 17;[0.0000; 0.0000];[0.0000; 0.0000];[0.1352; -48.9943];[0.0000; 0.0000];[25.6665; -48.9943];[0.2734; -44.0344];[34.4363; -49.0437];[8.7126; -40.0922]
378; 1; 18;[0.0000; 0.0000];[0.0000; 0.0000];[0.1080; -68.7578];[0.0000; 0.0000];[20.7516; -61.4003];[0.1898; 28.0407];[34.4363; -55.5484];[4.3561; -40.5520]
379; 1; 19;[0.0000; 0.0000];[0.0000; 0.0000];[0.1062; -65.5240];[0.0000; 0.0000];[21.0071; -65.5240];[0.1885; 17.8270];[34.4363; -54.3661];[7.3292; -38.0314]
380; 1; 20;[0.0000; 0.0000];[0.0000; 0.0000];[0.1238; -81.8639];[0.0000; 0.0000];[10.2303; -81.8639];[0.1268; 61.6765];[32.4891; -66.0615];[6.6606; -40.4126]
381; 1; 21;[0.0000; 0.0000];[0.0000; 0.0000];[0.1225; -50.6745];[0.0000; 0.0000];[5.5846; -50.6745];[0.2428; -54.9830];[32.4891; -50.2116];[12.6936; -41.1701]
382; 1; 22;[0.0000; 0.0000];[0.0000; 0.0000];[4.7754; -46.0358];[0.0000; 0.0000];[8.3268; -46.0140];[0.2622; -73.3855];[32.4891; -43.8371];[16.5086; -41.3201]
383; 1; 23;[0.0000; 0.0000];[0.0000; 0.0000];[4.7964; -45.8283];[0.0000; 0.0000];[13.3705; -38.1696];[0.2601; 21.1236];[28.7664; -42.1664];[14.4776; -72.0827]
384; 2; 0;[0.0000; 0.0000];[0.0000; 0.0000];[5.1740; -41.1266];[0.0000; 0.0000];[14.6559; -41.4975];[0.3005; -21.4474];[28.7664; -40.0907];[14.6997; -34.6394]
