game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_9;360;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;360;SPOT;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;360;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;360;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;360;VidyutVanika;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;360;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;360;default broker;-36744.449;0.000;0.000;-36744.449;-6861.822;-0.000;-0.000
PowerTAC_2018_Finals_9;361;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_9;361;Bunnie;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_9;361;SPOT;0.000;3147.519;-103.124;3147.519;48.527;-78.625;0.000
PowerTAC_2018_Finals_9;361;AgentUDE;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_9;361;EWIIS3;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_9;361;VidyutVanika;0.000;140.000;-7.863;140.000;2.158;-3.497;0.000
PowerTAC_2018_Finals_9;361;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_9;361;default broker;-40583.774;38260.397;-1253.545;-2323.376;-35.821;58.038;-0.000
PowerTAC_2018_Finals_9;362;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;362;Bunnie;-48589.489;0.000;0.000;-48589.489;-4340.688;-1523.570;-1523.570
PowerTAC_2018_Finals_9;362;SPOT;-3630.020;3195.218;-103.348;-434.802;-38.843;-13.634;-13.634
PowerTAC_2018_Finals_9;362;AgentUDE;-11839.728;0.000;0.000;-11846.328;-1058.279;-371.453;-371.453
PowerTAC_2018_Finals_9;362;EWIIS3;-7184.189;3649.192;-118.032;-3534.997;-315.795;-110.843;-110.843
PowerTAC_2018_Finals_9;362;VidyutVanika;-416.130;345.898;-39.889;-70.232;-6.274;-2.202;-2.202
PowerTAC_2018_Finals_9;362;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;362;default broker;0.000;39831.247;-1093.298;39831.247;3558.280;1248.947;0.000
PowerTAC_2018_Finals_9;363;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;363;Bunnie;-52076.933;0.000;0.000;-52076.933;-4129.370;-1539.219;-1539.219
PowerTAC_2018_Finals_9;363;SPOT;-3395.930;0.000;0.000;-3395.930;-269.276;-100.372;-100.372
PowerTAC_2018_Finals_9;363;AgentUDE;-9338.690;7581.650;-57.126;-1763.640;-139.845;-52.127;-52.127
PowerTAC_2018_Finals_9;363;EWIIS3;-7005.350;2926.542;-113.806;-4078.808;-323.424;-120.556;-120.556
PowerTAC_2018_Finals_9;363;VidyutVanika;-449.150;638.843;-41.489;189.693;15.041;5.607;0.000
PowerTAC_2018_Finals_9;363;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;363;default broker;0.000;43391.249;-1141.709;43391.249;3440.650;1282.500;0.000
PowerTAC_2018_Finals_9;364;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;364;Bunnie;-56549.356;48589.489;-1523.172;-7959.868;-663.799;-244.921;-244.921
PowerTAC_2018_Finals_9;364;SPOT;-4175.830;773.170;-24.237;-3402.660;-283.759;-104.698;-104.698
PowerTAC_2018_Finals_9;364;AgentUDE;-11604.461;9310.629;-297.224;-2300.432;-191.841;-70.783;-70.783
PowerTAC_2018_Finals_9;364;EWIIS3;-8079.853;1912.620;-113.415;-6167.233;-514.306;-189.762;-189.762
PowerTAC_2018_Finals_9;364;VidyutVanika;-522.460;808.457;-50.997;285.997;23.850;8.800;0.000
PowerTAC_2018_Finals_9;364;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;364;default broker;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;365;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_9;365;Bunnie;-50953.584;4799.628;-130.898;-46153.956;-411.063;1510.484;-1620.432
PowerTAC_2018_Finals_9;365;SPOT;-5256.940;991.526;-27.041;-4265.414;-37.989;139.595;-149.756
PowerTAC_2018_Finals_9;365;AgentUDE;-11767.311;10599.270;-383.803;-1168.041;-10.403;38.227;-41.009
PowerTAC_2018_Finals_9;365;EWIIS3;-9273.763;2224.556;-76.902;-7049.207;-62.783;230.700;-247.493
PowerTAC_2018_Finals_9;365;VidyutVanika;-751.810;938.231;-97.777;186.421;1.660;-6.101;0.000
PowerTAC_2018_Finals_9;365;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_9;365;default broker;0.000;63180.126;-2084.900;63180.126;562.704;-2067.701;0.000
PowerTAC_2018_Finals_9;366;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;366;Bunnie;-61973.971;5445.546;-177.341;-56528.425;-8048.094;-1985.124;-1985.124
PowerTAC_2018_Finals_9;366;SPOT;-6564.410;902.149;-31.929;-5662.261;-806.150;-198.843;-198.843
PowerTAC_2018_Finals_9;366;AgentUDE;-12641.899;10925.157;-387.170;-1723.342;-245.356;-60.519;-60.519
PowerTAC_2018_Finals_9;366;EWIIS3;-10735.825;4972.795;-177.408;-5763.030;-820.497;-202.382;-202.382
PowerTAC_2018_Finals_9;366;VidyutVanika;-290.840;701.149;-106.130;410.309;58.417;14.409;0.000
PowerTAC_2018_Finals_9;366;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;366;default broker;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;367;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_9;367;Bunnie;-61533.933;5335.313;-177.903;-56198.620;-8730.057;-2326.302;-2326.302
PowerTAC_2018_Finals_9;367;SPOT;-7744.660;1085.267;-45.614;-6659.393;-1034.489;-275.661;-275.661
PowerTAC_2018_Finals_9;367;AgentUDE;-13431.156;11826.634;-485.771;-1611.122;-250.276;-66.691;-66.691
PowerTAC_2018_Finals_9;367;EWIIS3;-12642.466;6660.291;-286.492;-5982.175;-929.289;-247.628;-247.628
PowerTAC_2018_Finals_9;367;VidyutVanika;494.380;903.787;-100.846;1398.167;217.195;57.876;0.000
PowerTAC_2018_Finals_9;367;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
