ts;dow;hod;broker;ttx-sc;ttx-sd;ttx-uc;ttx-ud;mtx-c;mtx-d;btx-c;btx-d;dtx-c;dtx-d;ctx-c;ctx-d;bce-c;bce-d;bank-c;bank-d;cash
360;3;0;default broker;0,0000;0,0000;19546,2034;-2,4702;0,0000;0,0000;0,0000;-7335,7721;0,0000;-866,5750;0,0000;0,0000;0,0000;0,0000;1,1586;0,0000;11342,5447
360;3;0;EWIIS3;0,0000;-13430,6623;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;3;0;Bunnie;0,0000;-13430,6623;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;3;1;default broker;0,0000;0,0000;19527,0919;-2,2516;0,0000;-1661,0407;0,0000;-319,7825;0,0000;-106,8750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;28779,6868
361;3;1;EWIIS3;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-1,9050;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13432,5673
361;3;1;Bunnie;0,0000;-300,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-757,7950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-14488,4573
362;3;2;default broker;0,0000;0,0000;0,0000;-1,8964;198,6378;-1199,9080;6,1216;0,0000;0,0000;-106,8750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;27675,7669
362;3;2;EWIIS3;3,9187;0,0000;1452,5269;0,0000;0,0000;-39,8160;0,0000;-141,5727;0,0000;-1,9050;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-12159,4153
362;3;2;Bunnie;0,0000;0,0000;7505,4183;-1,8964;0,0000;0,0000;0,0000;-7353,2496;0,0000;-757,7950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-15095,9800
363;3;3;default broker;0,0000;0,0000;0,0000;-2,1695;3,2197;0,0000;13,8819;0,0000;0,0000;-106,8750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;27583,8240
