ts;dow;hod;broker;ttx-sc;ttx-sd;ttx-uc;ttx-ud;mtx-c;mtx-d;btx-c;btx-d;dtx-c;dtx-d;ctx-c;ctx-d;bce-c;bce-d;bank-c;bank-d;cash
360;7;0;default broker;0,0000;0,0000;17929,5739;-2,0160;0,0000;0,0000;0,0000;-6620,0929;0,0000;-866,4850;0,0000;0,0000;0,0000;0,0000;1,2810;0,0000;10442,2610
360;7;0;CrocodileAgent;0,0000;-9489,5406;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;7;0;Bunnie;0,0000;-9489,5406;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;7;1;default broker;0,0000;0,0000;16775,1790;-2,3320;0,0000;-752,1201;0,0000;-36,0948;0,0000;-102,9200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26323,9732
361;7;1;CrocodileAgent;0,0000;-9533,7703;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-147,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-19170,8110
361;7;1;Bunnie;0,0000;-300,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-616,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-10405,6056
362;7;2;default broker;0,0000;0,0000;0,0000;-2,1472;309,0815;-686,8594;8,5839;0,0000;0,0000;-102,9200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;25849,7119
362;7;2;CrocodileAgent;0,0000;0,0000;2465,3299;-0,5058;0,0000;0,0000;0,0000;-1860,1552;0,0000;-147,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-18713,6420
362;7;2;Bunnie;0,0000;0,0000;5895,9422;-2,1472;0,5805;0,0000;0,0000;-4674,7354;0,0000;-616,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9802,0306
363;7;3;default broker;0,0000;0,0000;0,0000;0,0000;379,0096;-724,5924;0,0000;-20,2668;0,0000;-102,9200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;25380,9423
363;7;3;CrocodileAgent;0,0000;0,0000;1923,9896;0,0000;0,0000;-130,6053;0,0000;-159,5320;0,0000;-147,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17227,2897
363;7;3;Bunnie;0,0000;0,0000;6009,5276;0,0000;0,3328;0,0000;0,0000;-4355,0390;0,0000;-616,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8763,2741
364;7;4;default broker;0,0000;0,0000;0,0000;0,0000;457,2773;-1049,4060;0,1702;0,0000;0,0000;-102,9200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24686,0638
364;7;4;CrocodileAgent;0,0000;0,0000;2401,6133;0,0000;0,0000;-193,1124;1,1934;0,0000;0,0000;-147,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-15165,0954
364;7;4;Bunnie;0,0000;0,0000;4847,6788;0,0000;0,3790;-1304,0433;0,0000;-9,5342;0,0000;-616,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5844,8589
365;7;5;default broker;0,0000;0,0000;0,0000;0,0000;1521,2633;-1467,4191;0,0000;-10,1174;0,0000;-102,9200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24626,8706
365;7;5;CrocodileAgent;0,0000;0,0000;2481,0763;0,0000;0,0000;-263,5670;0,0000;-272,7880;0,0000;-147,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13367,8742
365;7;5;Bunnie;0,0000;0,0000;6405,9376;0,0000;0,6036;-1442,5917;0,0000;-216,2906;0,0000;-616,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-1713,2649
366;7;6;default broker;0,0000;0,0000;0,0000;-2,6822;12,5195;0,0000;0,0000;-7,0729;0,0000;-102,9200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24526,7150
366;7;6;CrocodileAgent;0,0000;0,0000;2572,3095;-0,4874;0,0000;-504,5997;0,0000;-192,2990;0,0000;-147,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-11640,4508
366;7;6;Bunnie;0,0000;0,0000;6685,3004;-2,3960;38,0915;-1471,1094;0,0000;-733,4701;0,0000;-616,0650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2187,0865
367;7;7;default broker;0,0000;0,0000;0,0000;-2,9948;50,3733;0,0000;0,0000;-120,8175;0,0000;-103,1700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24350,1060
367;7;7;CrocodileAgent;260,0000;-5,5000;3597,1006;-0,0033;0,0000;-632,8406;0,0000;-227,9136;0,0000;-146,8950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8796,5027
367;7;7;Bunnie;30,0000;0,0000;6535,1866;-0,0032;38,4661;-1468,1632;0,0000;-1104,3656;0,0000;-616,4200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5601,7872
368;7;8;default broker;0,0000;0,0000;0,0000;-6,4248;93,4789;-31,9212;0,0000;-123,9578;0,0000;-103,1700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;24178,1112
368;7;8;CrocodileAgent;0,0000;0,0000;2035,4321;-3,4520;0,0000;-501,3424;233,2678;0,0000;0,0000;-146,8950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7179,4921
368;7;8;Bunnie;0,0000;0,0000;6201,4899;-2,3738;37,5455;-1531,2603;0,0000;-836,8770;0,0000;-616,4200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8853,8915
369;7;9;default broker;0,0000;0,0000;0,1972;-5,7625;75,8426;-35,1430;0,0000;-256,2011;0,0000;-103,1700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23853,8744
369;7;9;CrocodileAgent;0,0000;0,0000;2092,9403;-1,7637;0,0000;-529,9167;352,8123;0,0000;0,0000;-146,8950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5412,3151
369;7;9;Bunnie;0,0000;0,0000;6006,8114;-0,0081;0,8936;-27,2694;0,0000;-6246,0562;0,0000;-616,4200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7971,8428
370;7;10;default broker;0,0000;0,0000;0,0000;-6,5651;61,9810;-25,9715;0,0000;-132,1302;0,0000;-103,1700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23648,0186
370;7;10;CrocodileAgent;0,0000;0,0000;2304,5993;-2,1553;0,0000;-13,7141;0,0000;-2091,3561;0,0000;-146,8950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5361,8363
370;7;10;Bunnie;0,0000;0,0000;8124,0180;-0,0090;1,4413;-24,8666;0,0000;-6508,9601;0,0000;-616,4200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8947,0464
371;7;11;default broker;0,0000;0,0000;0,0000;-7,7235;107,5100;-46,7571;0,0000;-304,2970;0,0000;-103,1700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23293,5810
371;7;11;CrocodileAgent;0,0000;0,0000;2384,7286;-2,4085;0,0000;-65,1254;0,0000;-1835,5370;0,0000;-146,8950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-5027,0737
371;7;11;Bunnie;0,0000;0,0000;8459,9867;-0,0110;0,0000;-50,1439;0,0000;-6523,7047;0,0000;-616,4200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;10216,7536
372;7;12;default broker;0,0000;0,0000;0,6244;-4,5608;72,9928;-7,7086;3,3008;0,0000;0,0000;-103,1700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23255,0596
372;7;12;CrocodileAgent;0,0000;0,0000;2075,8587;-1,3565;0,0000;-464,5439;0,0000;-3,8682;0,0000;-146,8950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-3567,8785
372;7;12;Bunnie;0,0000;0,0000;8638,1380;-0,0043;152,9928;-1953,4452;0,0000;-11,3837;0,0000;-616,4200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;16426,6312
373;7;13;default broker;0,0000;0,0000;0,0000;-7,3437;57,9787;-24,5526;0,0000;-113,7585;0,0000;-104,6750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23062,7086
373;7;13;CrocodileAgent;65,0000;-48,5000;2616,4825;-2,0719;0,0000;-122,1036;0,0000;-1708,8272;0,0000;-147,2550;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-2915,1536
373;7;13;Bunnie;10,0000;0,0000;9537,8245;-0,0085;103,2030;-193,6090;0,0000;-7371,3972;0,0000;-614,5550;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;17898,0890
