game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_101;360;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;360;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;360;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;360;default broker;-36056.850;0.000;0.000;-36056.850;-6708.624;-0.000;-0.000
PowerTAC_2018_Finals_101;361;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;361;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;361;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;361;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;361;default broker;-36137.829;34651.699;-1288.030;-1486.131;-112.690;-46.034;-0.000
PowerTAC_2018_Finals_101;362;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;362;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;362;Bunnie;-46684.256;-77.186;-2.043;-46761.442;-4465.967;-1178.822;-1178.822
PowerTAC_2018_Finals_101;362;EWIIS3;-13586.765;24804.429;-656.567;11217.664;1071.347;282.789;0.000
PowerTAC_2018_Finals_101;362;default broker;213.430;-142.762;-3.779;70.668;6.749;1.781;0.000
PowerTAC_2018_Finals_101;363;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;363;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;363;Bunnie;-52548.328;-139.166;-3.972;-52687.494;-5244.932;-1504.635;-1504.635
PowerTAC_2018_Finals_101;363;EWIIS3;-12930.406;26418.786;-754.121;13488.380;1342.741;385.197;0.000
PowerTAC_2018_Finals_101;363;default broker;239.520;-167.901;-4.793;71.619;7.130;2.045;0.000
PowerTAC_2018_Finals_101;364;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;364;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;364;Bunnie;-57537.878;46812.998;-1459.946;-10724.880;-785.810;-324.597;-324.597
PowerTAC_2018_Finals_101;364;EWIIS3;-13903.225;13513.871;-767.756;-389.354;-28.528;-11.784;-11.784
PowerTAC_2018_Finals_101;364;default broker;185.010;-148.721;-3.164;36.289;2.659;1.098;0.000
PowerTAC_2018_Finals_101;365;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_101;365;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_101;365;Bunnie;-47686.154;52699.696;-1527.473;5013.543;13.419;-40.913;0.000
PowerTAC_2018_Finals_101;365;EWIIS3;-16969.150;14793.091;-553.625;-2176.059;-5.824;17.758;-65.448
PowerTAC_2018_Finals_101;365;default broker;194.590;-146.469;-1.629;48.121;0.129;-0.393;0.000
PowerTAC_2018_Finals_101;366;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;366;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;366;Bunnie;-60197.248;30663.363;-225.276;-29533.885;-2970.521;-1246.209;-1246.209
PowerTAC_2018_Finals_101;366;EWIIS3;-19349.304;22577.993;-545.851;3228.689;324.742;136.238;0.000
PowerTAC_2018_Finals_101;366;default broker;356.030;-231.670;-2445.940;124.360;12.508;5.247;0.000
PowerTAC_2018_Finals_101;367;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;367;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;367;Bunnie;-59231.289;3905.049;-56.098;-55326.240;-8057.529;-2359.094;-2359.094
PowerTAC_2018_Finals_101;367;EWIIS3;-22817.456;21527.268;-1067.092;-1290.188;-187.899;-55.013;-55.013
PowerTAC_2018_Finals_101;367;default broker;397.510;-621.149;-11.578;-223.639;-32.570;-9.536;-9.536
PowerTAC_2018_Finals_101;368;CrocodileAgent;0.270;0.000;0.000;0.270;0.039;0.011;0.000
PowerTAC_2018_Finals_101;368;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;368;Bunnie;-51949.296;8242.116;-203.170;-43707.179;-6346.773;-1771.276;-1771.276
PowerTAC_2018_Finals_101;368;EWIIS3;-26624.956;22841.260;-971.947;-3783.697;-549.435;-153.338;-153.338
PowerTAC_2018_Finals_101;368;default broker;340.500;-1051.636;-19.347;-711.136;-103.265;-28.819;-28.819
PowerTAC_2018_Finals_101;369;CrocodileAgent;0.720;0.000;0.000;0.720;0.120;0.031;0.000
PowerTAC_2018_Finals_101;369;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;369;Bunnie;-46959.999;8906.542;-263.149;-38053.457;-6362.729;-1643.873;-1643.873
PowerTAC_2018_Finals_101;369;EWIIS3;-24670.199;0.000;0.000;-24670.199;-4124.981;-1065.729;-1065.729
PowerTAC_2018_Finals_101;369;default broker;752.120;-1556.480;-45.170;-804.360;-134.493;-34.748;-34.748
PowerTAC_2018_Finals_101;370;CrocodileAgent;6.530;0.000;0.000;6.530;0.819;0.356;0.000
PowerTAC_2018_Finals_101;370;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_101;370;Bunnie;-39884.439;16955.566;-425.546;-22928.873;-2877.435;-1249.104;-1249.104
