ts;dow;hod;broker;ttx-sc;ttx-sd;ttx-uc;ttx-ud;mtx-c;mtx-d;btx-c;btx-d;dtx-c;dtx-d;ctx-c;ctx-d;bce-c;bce-d;bank-c;bank-d;cash
360;5;0;default broker;0,0000;0,0000;16462,4958;-2,2171;0,0000;0,0000;0,0000;-5974,9969;0,0000;-866,5600;0,0000;0,0000;0,0000;0,0000;0,8776;0,0000;9619,5995
360;5;0;CrocodileAgent;0,0000;-4734,3016;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;5;0;SPOT;0,0000;-18937,2062;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;5;0;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;5;0;EWIIS3;0,0000;-18937,2062;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;5;0;VidyutVanika;0,0000;-9468,6031;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;5;0;AgentUDE;0,0000;-18937,2062;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;5;0;Bunnie;0,0000;-18937,2062;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;5;1;default broker;0,0000;0,0000;16141,4226;-1,2102;0,0000;-514,3580;0,0000;-235,2831;0,0000;-0,0300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;25010,1408
361;5;1;CrocodileAgent;0,0000;-23698,5078;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,8100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-28433,6193
361;5;1;SPOT;0,0000;0,0000;0,0000;0,0000;0,0000;-52,5492;112,5996;0,0000;0,0000;-0,0800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-18877,2358
361;5;1;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;5;1;EWIIS3;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-2,0100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-18939,2162
361;5;1;VidyutVanika;0,0000;-97,5000;0,0000;0,0000;0,5822;-4,0755;7,4851;0,0000;0,0000;-112,5100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9674,6212
361;5;1;AgentUDE;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-345,3350;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-19282,5412
361;5;1;Bunnie;0,0000;-300,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-405,7850;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-19642,9912
362;5;2;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;-667,0611;2223,3874;0,0000;0,0000;-0,0300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;26566,4370
362;5;2;CrocodileAgent;0,0000;0,0000;52,0336;0,0000;0,0000;0,0000;0,0000;-21,1488;0,0000;-0,8100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-28403,5445
362;5;2;SPOT;0,0100;0,0000;0,0000;0,0000;0,0000;-65,5837;178,8465;0,0000;0,0000;-0,0800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-18764,0431
362;5;2;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
362;5;2;EWIIS3;3,9187;0,0000;1848,5787;0,0000;0,0000;-216,6020;0,0000;-169,3840;0,0000;-2,0100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17474,7148
362;5;2;VidyutVanika;0,0000;0,0000;504,4978;-3,1052;6,2650;-16,0959;0,0000;-160,6191;0,0000;-112,5100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9456,1887
