game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_7;360;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;360;SPOT;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;360;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;360;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;360;VidyutVanika;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;360;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;360;default broker;-37325.378;0.000;0.000;-37325.378;-6991.991;-0.000;-0.000
PowerTAC_2018_Finals_7;361;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;361;Bunnie;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;361;SPOT;0.000;3135.705;-89.026;3135.705;32.534;-54.694;0.000
PowerTAC_2018_Finals_7;361;AgentUDE;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;361;EWIIS3;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;361;VidyutVanika;0.000;150.000;-6.530;150.000;1.556;-2.616;0.000
PowerTAC_2018_Finals_7;361;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;361;default broker;-35253.154;35787.712;-1016.057;534.558;5.546;-9.324;0.000
PowerTAC_2018_Finals_7;362;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;362;Bunnie;-34153.417;0.000;0.000;-34153.417;-2371.767;-933.345;-933.345
PowerTAC_2018_Finals_7;362;SPOT;-95.400;3251.562;-93.302;3156.162;219.178;86.252;0.000
PowerTAC_2018_Finals_7;362;AgentUDE;-28594.583;0.000;0.000;-28601.183;-1986.195;-781.613;-781.613
PowerTAC_2018_Finals_7;362;EWIIS3;-9564.997;19105.037;-548.208;9540.041;662.503;260.710;0.000
PowerTAC_2018_Finals_7;362;VidyutVanika;-472.070;177.588;-31.925;-294.482;-20.450;-8.048;-8.048
PowerTAC_2018_Finals_7;362;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;362;default broker;0.000;38297.171;-1036.471;38297.171;2659.528;1046.585;0.000
PowerTAC_2018_Finals_7;363;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;363;Bunnie;-36687.777;0.000;0.000;-36687.777;-297.186;352.183;-1254.119
PowerTAC_2018_Finals_7;363;SPOT;-83.250;0.000;0.000;-83.250;-0.674;0.799;-2.846
PowerTAC_2018_Finals_7;363;AgentUDE;-22939.382;18304.757;-631.711;-4634.625;-37.542;44.490;-158.428
PowerTAC_2018_Finals_7;363;EWIIS3;-9443.010;13845.112;-977.263;4402.102;35.659;-42.258;0.000
PowerTAC_2018_Finals_7;363;VidyutVanika;-426.880;179.294;-52.994;-247.586;-2.006;2.377;-8.463
PowerTAC_2018_Finals_7;363;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;363;default broker;0.000;43227.444;-1217.002;43227.444;350.160;-414.960;0.000
PowerTAC_2018_Finals_7;364;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;364;Bunnie;-30007.437;8573.954;-225.066;-21433.483;238.931;644.214;-660.852
PowerTAC_2018_Finals_7;364;SPOT;-74.070;113.923;-2.990;39.853;-0.445;-1.198;0.000
PowerTAC_2018_Finals_7;364;AgentUDE;-26542.319;22423.328;-667.518;-4112.391;45.922;123.604;-126.796
PowerTAC_2018_Finals_7;364;EWIIS3;-11039.668;5873.315;-592.653;-5166.353;57.592;155.282;-159.293
PowerTAC_2018_Finals_7;364;VidyutVanika;-485.120;248.382;-62.115;-236.738;2.639;7.116;-7.299
PowerTAC_2018_Finals_7;364;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_7;364;default broker;0.000;55200.937;-1573.106;55200.937;-616.419;-1659.144;0.000
PowerTAC_2018_Finals_7;365;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_7;365;Bunnie;-39062.467;0.000;0.000;-39062.467;-4326.478;-1331.713;-1331.713
PowerTAC_2018_Finals_7;365;SPOT;-67.550;119.471;-3.136;51.921;5.751;1.770;0.000
