ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;Bunnie_mwh; Bunnie_price 
439; 7; 7;[-1.3411; 32.9052];[22.6175; -29.1372];[2.8417; -5.0201];[12.9042; -36.6415];[43.4983; -37.8425]
440; 7; 8;[-2.4586; 35.1104];[19.7555; -29.8645];[0.6119; -10.4154];[2.3163; -11.5626];[33.4902; -39.7711]
441; 7; 9;[-3.2344; 34.8574];[13.9901; -23.6703];[0.0000; 0.0000];[19.2002; -45.1973];[30.5067; -41.8652]
442; 7; 10;[-3.8160; 35.5791];[18.3414; -30.8933];[0.2645; 241.2473];[14.0108; -41.1480];[27.3766; -43.3560]
443; 7; 11;[-1.5085; 34.5131];[16.8342; -31.2244];[1.5433; 16.1827];[10.5328; -44.5673];[28.2005; -35.5374]
444; 7; 12;[-0.7362; 58.7476];[0.0000; 0.0000];[0.0000; 0.0000];[0.6664; -41.3021];[6.7805; -33.9872]
445; 7; 13;[-1.0627; 39.2661];[14.4871; -24.8278];[0.0000; 0.0000];[11.4187; -43.6965];[31.1945; -43.7835]
446; 7; 14;[-0.9506; 33.1685];[19.8933; -30.6830];[3.1086; 0.1323];[1.7337; -11.3674];[36.1050; -36.3107]
447; 7; 15;[-2.4888; 32.9147];[18.8470; -31.2766];[1.1405; 55.2938];[4.9267; -9.4500];[30.6305; -38.5307]
448; 7; 16;[-1.3921; 37.9904];[8.8370; -37.3328];[0.0000; 0.0000];[4.5075; -30.0489];[31.1203; -37.0988]
449; 7; 17;[-0.1620; 41.8777];[16.7101; -19.8153];[0.0000; 0.0000];[14.4421; -42.4779];[35.6977; -46.3091]
450; 7; 18;[-0.1742; 41.6986];[23.7926; -34.1411];[4.2637; -20.2394];[9.0070; -11.3099];[23.2410; -46.4360]
451; 7; 19;[-0.1439; 38.5648];[24.4657; -32.3069];[2.6636; -20.7526];[10.2818; -22.6484];[25.7858; -45.9901]
452; 7; 20;[-0.1442; 33.0825];[25.0846; -30.9408];[0.0226; 3883.7178];[9.0576; -21.7758];[22.4751; -36.7321]
453; 7; 21;[-0.1369; 33.8804];[19.6157; -31.5748];[1.5614; 12.1433];[8.7482; -16.8160];[21.0113; -41.1038]
454; 7; 22;[-0.1322; 33.7495];[18.8766; -31.3858];[4.8991; -15.0705];[9.9618; -14.6031];[21.0479; -39.7976]
455; 7; 23;[-0.1249; 29.2668];[22.8329; -30.6442];[0.0000; 0.0000];[8.8810; -33.6020];[20.7414; -38.5483]
456; 1; 0;[-0.1200; 32.7543];[19.2443; -30.6756];[1.4442; 13.7651];[7.9569; -21.9547];[23.2857; -35.9720]
457; 1; 1;[-0.1234; 31.8275];[17.4491; -30.0787];[0.2187; 323.4074];[9.7622; -31.7627];[28.9822; -35.0564]
458; 1; 2;[-0.0903; 32.7320];[19.0442; -30.8640];[1.9914; 19.0229];[9.3924; -35.8106];[35.2297; -34.9922]
459; 1; 3;[-0.0914; 33.3293];[21.4788; -30.3692];[-0.3074; 326.8108];[8.2725; -12.8272];[29.0693; -38.6030]
460; 1; 4;[-0.0863; 38.4782];[27.0448; -37.1086];[0.3353; 52.6058];[11.2274; -42.4632];[24.2955; -37.8280]
461; 1; 5;[-0.1056; 34.3625];[23.8797; -31.8601];[1.6784; 32.6125];[13.6094; -38.4730];[29.9669; -36.1525]
462; 1; 6;[-0.1599; 39.5258];[28.3082; -37.5609];[0.0000; 0.0000];[19.0971; -46.4718];[26.9517; -38.1668]
463; 1; 7;[-0.6051; 61.1344];[0.3332; -31.3184];[0.0000; 0.0000];[1.4161; -36.5584];[8.2320; -32.9540]
464; 1; 8;[-1.0383; 37.3925];[16.4421; -36.4971];[0.4794; 58.2507];[23.9476; -44.8788];[23.8880; -39.8723]
465; 1; 9;[-1.3794; 58.6805];[2.9224; -31.6411];[0.0000; 0.0000];[2.7489; -41.6667];[8.4637; -20.4375]
466; 1; 10;[-3.6941; 37.4692];[5.7825; -24.1164];[0.0000; 0.0000];[20.3864; -48.4404];[8.2483; -35.1634]
467; 1; 11;[-4.1067; 37.4653];[15.6621; -36.2359];[1.8343; 33.5504];[16.6046; -37.1185];[29.7692; -40.5255]
468; 1; 12;[-4.2055; 38.1221];[11.2945; -22.7058];[3.3173; -25.3021];[16.9983; -50.7903];[38.3457; -40.4621]
469; 1; 13;[-3.7956; 72.7427];[3.5361; -31.6667];[0.0000; 0.0000];[8.2467; -41.6667];[6.0309; -33.5356]
470; 1; 14;[-3.1830; 37.5466];[17.1706; -35.8794];[2.6723; -15.2554];[23.0524; -35.8237];[26.7588; -39.5631]
471; 1; 15;[-2.4647; 39.1102];[10.2272; -16.3188];[0.0000; 0.0000];[27.9734; -42.0882];[24.7601; -41.8887]
472; 1; 16;[-1.4006; 39.3048];[14.7103; -19.2369];[0.0000; 0.0000];[28.3796; -35.1310];[24.8437; -45.4978]
473; 1; 17;[-0.3211; 73.4028];[0.0000; 0.0000];[0.0000; 0.0000];[1.4994; -41.6667];[17.5008; -34.4242]
474; 1; 18;[-0.1115; 75.2173];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[17.6672; -35.3242]
475; 1; 19;[-0.1124; 58.2950];[0.0000; 0.0000];[0.0000; 0.0000];[2.3324; -40.0894];[13.9795; -35.9987]
476; 1; 20;[-0.1186; 40.6956];[17.5974; -35.3875];[7.8778; -13.9917];[5.8244; -11.0688];[20.3543; -44.2671]
477; 1; 21;[-0.1439; 39.1765];[14.3643; -31.1621];[-0.0703; 1571.1331];[13.9621; -31.1563];[18.4215; -36.2536]
478; 1; 22;[-0.1608; 33.7275];[15.8256; -31.3545];[0.0000; 0.0000];[15.6557; -35.4179];[17.0120; -37.6528]
479; 1; 23;[-0.1552; 39.5664];[14.6861; -35.4808];[0.0000; 0.0000];[15.5205; -28.1480];[18.7098; -47.0877]
480; 2; 0;[-0.1435; 27.6981];[14.4006; -24.8683];[0.0229; 3282.4466];[12.9253; -31.7267];[23.7924; -27.8032]
481; 2; 1;[-0.1223; 32.4398];[10.5259; -32.2545];[4.1838; -8.2525];[10.8922; -38.3494];[31.3546; -36.3862]
482; 2; 2;[-0.1084; 32.5239];[12.4206; -32.0260];[2.8029; -12.2948];[7.6925; -52.9514];[29.7978; -35.5197]
483; 2; 3;[-0.1091; 32.2302];[15.5293; -32.2094];[3.3432; -7.0893];[7.5063; -39.4806];[26.7987; -36.6765]
484; 2; 4;[-0.1079; 32.4742];[18.7484; -32.1879];[-6.0259; 47.6287];[11.1889; -36.6768];[31.1624; -34.7600]
485; 2; 5;[-0.1060; 31.5429];[17.2230; -30.8410];[1.7656; 10.6066];[13.3260; -38.6795];[27.4173; -33.7898]
486; 2; 6;[-0.3180; 37.3082];[19.7931; -37.3375];[0.0000; 0.0000];[18.6895; -47.0718];[9.3551; -32.3261]
487; 2; 7;[-1.2025; 70.1943];[0.2743; -31.6667];[0.0000; 0.0000];[0.0000; 0.0000];[7.6873; -32.5943]
488; 2; 8;[-2.2632; 56.5539];[1.1640; -31.6667];[0.0000; 0.0000];[0.0000; 0.0000];[5.8399; -33.2279]
489; 2; 9;[-3.2138; 44.6335];[14.7247; -37.1066];[-3.1191; 71.4748];[24.2023; -42.2072];[25.8799; -42.6145]
490; 2; 10;[-3.7267; 37.4312];[14.7988; -37.0515];[-2.9830; 67.8852];[18.9391; -43.1902];[24.7942; -40.5458]
491; 2; 11;[-4.1990; 37.3749];[2.6746; -36.8932];[0.0000; 0.0000];[0.0000; 0.0000];[23.9382; -36.3694]
492; 2; 12;[-4.0334; 32.8728];[12.1666; -32.1753];[0.9457; 0.9828];[18.5600; -43.8070];[32.1136; -34.3458]
493; 2; 13;[-3.6582; 39.0758];[7.7013; -25.3872];[1.1545; -24.7891];[18.6575; -45.4792];[31.5564; -40.6605]
494; 2; 14;[-3.1815; 38.0316];[9.0356; -37.1083];[0.0000; 0.0000];[0.0000; 0.0000];[26.1490; -34.7161]
495; 2; 15;[-2.4312; 37.8984];[9.4403; -37.7450];[0.0000; 0.0000];[4.1234; -41.6667];[29.3942; -36.2167]
496; 2; 16;[-1.3351; 37.5052];[16.1063; -36.8858];[0.5704; 111.0372];[27.5796; -40.3877];[28.0506; -40.7009]
497; 2; 17;[-0.3334; 41.8152];[0.0000; 0.0000];[0.0000; 0.0000];[0.7497; -41.6667];[19.7890; -37.4622]
498; 2; 18;[-0.1518; 60.4293];[0.0000; 0.0000];[0.0000; 0.0000];[1.5827; -41.6667];[8.2526; -35.3626]
499; 2; 19;[-0.1534; 41.6235];[9.3657; -24.3513];[1.0182; 15.2853];[12.6109; -42.0917];[25.4678; -43.3882]
500; 2; 20;[-0.1193; 29.3091];[16.1325; -32.0300];[3.2561; -12.9239];[12.9317; -34.2756];[24.9151; -40.0848]
501; 2; 21;[-0.1029; 30.4995];[12.3942; -31.8189];[0.4279; 97.2703];[13.2191; -34.4324];[25.0166; -38.6727]
502; 2; 22;[-0.1086; 32.5454];[10.4510; -31.9931];[0.0000; 0.0000];[13.7421; -33.5529];[24.7106; -38.2341]
503; 2; 23;[-0.0917; 33.5804];[11.1004; -31.8191];[0.0000; 0.0000];[14.8424; -35.9785];[24.4633; -38.8085]
504; 3; 0;[-0.1023; 33.7311];[13.8562; -32.8141];[0.0000; 0.0000];[13.9937; -40.4402];[28.6257; -33.3791]
505; 3; 1;[-0.1155; 33.0534];[9.4777; -31.9130];[5.1652; -13.2399];[14.4351; -35.9148];[31.2126; -33.7909]
506; 3; 2;[-0.1069; 30.0797];[11.2228; -25.7239];[6.2283; -16.8950];[9.3519; -28.3205];[31.7651; -28.4945]
507; 3; 3;[-0.1316; 37.3791];[11.7436; -25.0052];[-0.0476; 2267.0994];[9.5043; -31.1587];[34.2728; -26.7051]
508; 3; 4;[-0.1270; 31.1818];[15.6390; -30.5497];[0.0000; 0.0000];[12.1092; -36.8490];[37.6953; -33.8129]
509; 3; 5;[-0.1148; 31.8451];[13.0600; -31.3586];[-0.0543; 661.7993];[14.7602; -36.5790];[31.1948; -32.3943]
510; 3; 6;[-0.3142; 52.2435];[5.1427; -31.0343];[0.0000; 0.0000];[0.9996; -32.9986];[13.6443; -32.1132]
511; 3; 7;[-1.0451; 53.4671];[4.9135; -30.6662];[0.0000; 0.0000];[1.1504; -48.2316];[11.0777; -32.6288]
512; 3; 8;[-1.8137; 37.7288];[9.6699; -37.0501];[0.0000; 0.0000];[23.6006; -47.1957];[40.9245; -37.6504]
513; 3; 9;[-2.4492; 37.7942];[8.5093; -37.2435];[0.0000; 0.0000];[1.9598; -38.8737];[37.3896; -37.9268]
514; 3; 10;[-3.7404; 37.4157];[7.8877; -36.2948];[-1.4060; 138.7181];[19.9504; -43.3519];[36.7893; -39.3452]
515; 3; 11;[-4.1793; 53.4944];[3.4058; -31.2933];[0.0000; 0.0000];[0.0000; 0.0000];[7.7042; -31.5911]
516; 3; 12;[-4.1887; 52.1554];[1.9144; -31.6667];[0.0000; 0.0000];[0.0000; 0.0000];[8.9060; -33.0447]
517; 3; 13;[-2.8711; 52.2193];[3.9896; -29.6237];[0.0000; 0.0000];[20.9781; -49.3298];[6.5071; -34.3868]
518; 3; 14;[-1.8307; 52.7309];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[10.4441; -32.9033]
519; 3; 15;[-2.0853; 37.5209];[7.1412; -36.6494];[1.0993; 88.8196];[22.1816; -43.8036];[39.3418; -41.4528]
520; 3; 16;[-1.1927; 38.5481];[0.0000; 0.0000];[0.0000; 0.0000];[22.9473; -45.7410];[12.0316; -35.0286]
521; 3; 17;[-0.3671; 53.0785];[0.0000; 0.0000];[0.0000; 0.0000];[2.9988; -41.6667];[9.1367; -34.4197]
522; 3; 18;[-0.1654; 38.0941];[6.0806; -33.6369];[1.0302; -15.8299];[6.0822; -14.9985];[37.7651; -41.7789]
523; 3; 19;[-0.1863; 40.3227];[6.0270; -24.3230];[1.5917; -4.0359];[14.4245; -28.8124];[39.1223; -43.6103]
524; 3; 20;[-0.1738; 52.7542];[4.5298; -15.8450];[0.0000; 0.0000];[12.6723; -36.5218];[37.0091; -46.2920]
525; 3; 21;[-0.1680; 41.9814];[4.5685; -33.6602];[0.7513; 66.3243];[14.1986; -28.1746];[27.7797; -42.4424]
526; 3; 22;[-0.1149; 42.5525];[5.3762; -36.2328];[0.3195; 131.4676];[14.6470; -29.2314];[27.9702; -44.9656]
527; 3; 23;[-0.1817; 36.1562];[5.1553; -26.0652];[-0.7242; 120.4540];[15.3059; -32.7729];[26.9460; -30.3058]
528; 4; 0;[-0.1437; 34.8951];[6.1444; -31.8871];[4.9266; -4.0186];[14.2118; -36.5011];[38.8263; -32.5302]
529; 4; 1;[-0.1408; 34.7371];[4.4714; -32.1366];[4.2744; -5.1748];[12.6391; -36.0158];[37.6095; -35.3035]
530; 4; 2;[-0.1507; 34.1872];[5.6508; -31.5618];[3.6521; -6.2915];[10.5212; -39.3403];[34.4900; -34.5625]
531; 4; 3;[-0.1377; 32.6826];[7.4044; -30.6950];[-3.3282; 57.8273];[10.3742; -35.6288];[43.5349; -32.9941]
532; 4; 4;[-0.1276; 37.3511];[6.3329; -37.2486];[0.0000; 0.0000];[13.4391; -42.6040];[42.9314; -37.2683]
533; 4; 5;[-0.1447; 37.0124];[4.9340; -37.2599];[0.0000; 0.0000];[15.9359; -42.0851];[40.9720; -37.3435]
534; 4; 6;[-0.2903; 51.0864];[0.0834; -31.6667];[1.4574; -33.0148];[0.0000; 0.0000];[2.0096; -32.9868]
535; 4; 7;[-0.8815; 37.2161];[4.8434; -37.3606];[0.0000; 0.0000];[0.0000; 0.0000];[46.8468; -39.7980]
536; 4; 8;[-1.5422; 51.4030];[0.0675; -31.6667];[0.0000; 0.0000];[0.0000; 0.0000];[1.6278; -33.5306]
537; 4; 9;[-2.1229; 101.6225];[1.0458; -31.6667];[0.0000; 0.0000];[0.0000; 0.0000];[1.5258; -33.7390]
538; 4; 10;[-3.9971; 51.5112];[0.9231; -31.6667];[0.0000; 0.0000];[0.0833; -41.6667];[1.3732; -34.0311]
539; 4; 11;[-4.2653; 51.3266];[0.0000; 0.0000];[0.2167; 22.6988];[0.0000; 0.0000];[1.3108; -34.1862]
540; 4; 12;[-4.2628; 51.4228];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[1.8044; -33.1847]
541; 4; 13;[-3.6560; 51.3028];[0.6971; -31.6667];[0.0000; 0.0000];[0.0000; 0.0000];[0.9612; -35.0234]
542; 4; 14;[-3.0312; 51.6667];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[1.5102; -33.9629]
543; 4; 15;[-2.5019; 51.5389];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[1.1820; -34.2776]
544; 4; 16;[-1.2784; 51.4767];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[1.0638; -34.7026]
545; 4; 17;[-0.3041; 114.6071];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.7773; -34.9292]
546; 4; 18;[-0.1854; 143.7903];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.4475; -34.3899]
547; 4; 19;[-0.1170; 43.6838];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[7.7132; -43.2234]
548; 4; 20;[-0.2196; 85.2624];[0.0000; 0.0000];[0.0000; 0.0000];[1.5827; -39.4209];[0.0290; -35.7680]
549; 4; 21;[-0.1354; 48.1999];[0.0000; 0.0000];[0.0000; 0.0000];[3.0071; -40.1666];[6.7264; -43.8163]
550; 4; 22;[-0.1882; 46.8531];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[25.8426; -42.7981]
551; 4; 23;[-0.2031; 45.9450];[0.0000; 0.0000];[0.0000; 0.0000];[1.4994; -39.2651];[25.2205; -43.1558]
552; 5; 0;[-0.1592; 38.2754];[2.0383; -37.2272];[0.0000; 0.0000];[12.9759; -44.1873];[6.2630; -33.8283]
553; 5; 1;[-0.0760; 30.7902];[1.6052; -31.0360];[6.1939; -15.6546];[12.1778; -37.7774];[41.3817; -34.0670]
554; 5; 2;[-0.1334; 37.2482];[1.9464; -37.1241];[0.0000; 0.0000];[10.0800; -38.0673];[42.4176; -39.7012]
555; 5; 3;[-0.1809; 36.1273];[2.0899; -33.4161];[0.0000; 0.0000];[1.5827; -31.5181];[11.5707; -30.7926]
