ts;dow;hod;broker;ttx-sc;ttx-sd;ttx-uc;ttx-ud;mtx-c;mtx-d;btx-c;btx-d;dtx-c;dtx-d;ctx-c;ctx-d;bce-c;bce-d;bank-c;bank-d;cash
360;7;0;default broker;0,0000;0,0000;15216,7458;-2,2555;0,0000;0,0000;0,0000;-5443,7110;0,0000;-866,4400;0,0000;0,0000;0,0000;0,0000;1,1514;0,0000;8905,4908
360;7;0;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;7;0;SPOT;0,0000;-19121,9008;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;7;0;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;7;0;EWIIS3;0,0000;-19121,9008;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;7;0;VidyutVanika;0,0000;-9560,9504;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;7;0;AgentUDE;0,0000;-19121,9008;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;7;0;Bunnie;0,0000;-19121,9008;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;7;1;default broker;0,0000;0,0000;15306,9029;-2,6993;0,0000;-576,0133;0,0000;-3,8996;0,0000;-0,0450;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23629,7365
361;7;1;CrocodileAgent;0,0000;-28682,8511;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-28682,8511
361;7;1;SPOT;0,0000;0,0000;0,0000;0,0000;0,0000;-47,3476;18,4666;0,0000;0,0000;-0,1300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-19150,9118
361;7;1;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;7;1;EWIIS3;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-1,6900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-19123,5908
361;7;1;VidyutVanika;0,0000;-3529,5000;0,0000;0,0000;0,3862;-4,0556;1,4311;0,0000;0,0000;-215,4350;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-13308,1236
361;7;1;AgentUDE;0,0000;-10,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-289,9650;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-19421,8658
361;7;1;Bunnie;0,0000;-300,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-359,1750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-19781,0758
