ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;SPOT_mwh; SPOT_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;VidyutVanika_mwh; VidyutVanika_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
361; 7; 1;[29.8261; -19.3124];[0.0000; 0.0000];[2.4517; -19.3124];[0.0000; 0.0000];[0.0000; 0.0000];[0.1900; -19.3124];[0.0000; 0.0000];[0.0000; 0.0000]
362; 7; 2;[29.5084; -19.4670];[0.0000; 0.0000];[2.5229; -22.6634];[0.0000; 0.0000];[7.5235; -22.6634];[3.3185; -22.6634];[0.0000; 0.0000];[0.0000; 0.0000]
363; 7; 3;[35.4684; -25.9391];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[5.0086; -28.7532];[3.9694; -28.4819];[13.4858; -27.8952];[0.0000; 0.0000]
364; 7; 4;[47.4686; -25.7900];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[4.8046; -26.3158];[4.8240; -26.4021];[16.5201; -26.3494];[20.1469; -26.4757]
365; 7; 5;[53.4209; -26.0833];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[5.2004; -29.1758];[5.5374; -27.0775];[17.6811; -27.5938];[20.5981; -29.1759]
366; 7; 6;[46.2041; -32.4446];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[7.2783; -36.0260];[4.5287; -22.9794];[17.6944; -34.5777];[20.2548; -35.1886]
367; 7; 7;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[9.8906; -35.1527];[5.9366; -33.6320];[16.1719; -34.0115];[21.6887; -34.7466]
368; 7; 8;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[12.0524; -42.5781];[5.6312; -30.8469];[16.2228; -43.4366];[20.9099; -37.8513]
369; 7; 9;[47.3574; -25.4328];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[14.2677; -32.7002];[4.8383; -32.5084];[16.2534; -32.2980];[17.7303; -31.6514]
370; 7; 10;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[14.4701; -36.3816];[4.5610; -30.2363];[16.2718; -36.2454];[19.2588; -33.1148]
371; 7; 11;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[11.6326; -37.1959];[4.4638; -27.6759];[16.2828; -28.8003];[18.2574; -32.8022]
372; 7; 12;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[10.4985; -32.7791];[4.4702; -19.8847];[15.4183; -30.6981];[16.6151; -36.8842]
373; 7; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[10.4014; -39.9671];[4.6816; -32.1958];[15.7096; -37.8938];[17.2794; -39.3994]
374; 7; 14;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[11.0220; -39.9744];[4.8794; -37.7113];[16.1562; -31.3739];[18.1997; -31.5158]
375; 7; 15;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[10.8110; 0.8349];[4.6389; -35.6925];[16.9118; -31.1804];[19.5634; -32.0930]
376; 7; 16;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[11.3122; -43.2399];[4.2137; -42.1650];[17.4411; -39.7303];[14.8171; -27.5043]
377; 7; 17;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[12.0528; -1.3895];[5.1242; -30.9808];[18.0593; -30.8993];[17.5525; -30.4160]
378; 7; 18;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[10.8692; -3.2202];[4.5126; -34.1511];[18.0593; -39.1804];[21.0101; -36.0020]
379; 7; 19;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[8.0633; -1.4685];[4.1452; -26.7765];[17.3170; -32.5201];[18.4068; -30.2745]
380; 7; 20;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[4.8490; 7.5912];[4.1778; -25.9686];[15.9349; -35.5828];[18.4590; -26.4022]
381; 7; 21;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[3.8444; -5.3207];[3.7083; -29.2298];[15.0707; -36.0826];[12.8107; -37.0556]
382; 7; 22;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[5.2171; -20.3331];[3.0391; -10.8117];[17.3170; -26.4642];[12.9306; -38.4251]
383; 7; 23;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[6.4878; -17.6827];[2.6335; -25.5448];[17.3170; -29.0861];[14.6323; -36.8608]
384; 1; 0;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[7.8884; -25.7767];[2.5175; -12.5486];[18.8646; -25.7636];[13.2990; -19.4823]
385; 1; 1;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[8.6865; -29.4129];[2.5519; -15.2274];[20.0849; -27.4098];[12.9255; -27.0836]
386; 1; 2;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[7.2518; -28.6681];[2.5132; -14.7088];[33.7143; -26.2436];[18.8060; -26.6617]
387; 1; 3;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[7.0100; -10.8813];[3.6662; -29.4416];[22.2062; -31.5240];[20.6489; -26.8323]
388; 1; 4;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[6.6871; -28.5361];[4.9994; -9.7618];[24.6952; -30.5188];[15.3526; -32.2282]
389; 1; 5;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[7.8575; -36.4831];[5.5464; -7.7570];[26.2316; -33.8883];[20.8778; -30.5545]
390; 1; 6;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[10.0752; -37.6478];[4.5157; 0.0272];[24.8813; -36.9041];[20.2661; -43.5867]
391; 1; 7;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[11.7487; -32.1624];[6.3336; -19.2403];[24.5805; -29.6410];[20.4089; -36.0578]
392; 1; 8;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[13.8582; -36.9171];[5.1595; -30.4544];[28.1544; -34.7061];[19.3009; -30.9232]
393; 1; 9;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[16.2940; -42.7231];[4.2636; -23.6845];[27.9267; -40.5947];[18.5015; -41.0460]
394; 1; 10;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[14.9724; -46.0477];[3.9306; -24.3521];[27.6349; -39.8686];[17.1897; -43.0831]
395; 1; 11;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[13.2155; -53.4574];[3.5584; -26.5671];[25.3373; -51.1451];[17.7210; -44.2700]
396; 1; 12;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[13.3406; -48.4255];[4.0319; -24.3381];[27.1817; -41.4361];[18.4574; -41.4532]
397; 1; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[12.6898; -59.2821];[3.9601; -29.1659];[27.6933; -43.4410];[18.9621; -45.6077]
