ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;SPOT_mwh; SPOT_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;VidyutVanika_mwh; VidyutVanika_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
361; 1; 1;[30.4666; -26.0813];[0.0000; 0.0000];[2.7688; -26.0813];[0.0000; 0.0000];[0.0000; 0.0000];[0.1600; -26.0813];[0.0000; 0.0000];[0.0000; 0.0000]
362; 1; 2;[0.0000; 0.0000];[0.0000; 0.0000];[2.7143; -30.7484];[0.0000; 0.0000];[3.4563; -30.7484];[0.4445; -31.1455];[0.0000; 0.0000];[0.0000; 0.0000]
363; 1; 3;[36.4244; -26.7707];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[2.2664; -31.3904];[0.4818; -32.0439];[12.8468; -32.7590];[0.0000; 0.0000]
364; 1; 4;[0.0000; 0.0000];[0.0000; 0.0000];[0.0833; -29.3080];[0.0000; 0.0000];[2.2054; -29.3787];[0.5818; -29.2961];[15.8614; -29.3645];[34.3472; -29.3080]
365; 1; 5;[49.7894; -39.4661];[0.0000; 0.0000];[0.0948; -26.1009];[0.0000; 0.0000];[2.5066; -46.5032];[0.6529; -40.7745];[17.7787; -41.8990];[0.8453; -26.1009]
366; 1; 6;[0.0000; 0.0000];[0.0000; 0.0000];[0.0250; 0.0000];[0.0000; 0.0000];[5.6738; -32.5738];[0.6498; -39.1630];[18.0942; -43.4568];[2.5919; 0.0000]
367; 1; 7;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[7.5521; -40.8396];[0.8324; -34.9073];[18.2290; -42.5031];[0.1541; -27.1885]
368; 1; 8;[0.0000; 0.0000];[0.0000; 0.0000];[0.0840; -45.1580];[0.0000; 0.0000];[11.3258; -45.9418];[0.5908; -31.1037];[18.3100; -44.7982];[0.5684; -28.0514]
369; 1; 9;[0.0000; 0.0000];[0.0000; 0.0000];[0.0643; -44.9756];[0.0000; 0.0000];[13.9591; -44.9756];[0.5773; -32.4237];[18.3585; -45.5339];[7.8095; -31.6748]
370; 1; 10;[0.0000; 0.0000];[0.0000; 0.0000];[0.0542; -31.0443];[0.0000; 0.0000];[13.5765; -41.3813];[0.5919; -34.6954];[18.3876; -42.3798];[7.6568; -31.1756]
371; 1; 11;[0.0000; 0.0000];[0.0000; 0.0000];[0.0589; -50.4866];[0.0000; 0.0000];[9.1997; -48.6009];[0.5316; -24.6088];[18.6869; -50.0391];[18.1653; -33.3865]
372; 1; 12;[0.0000; 0.0000];[0.0000; 0.0000];[0.0541; -32.7182];[0.0000; 0.0000];[8.5131; -49.5298];[0.5562; -24.9898];[18.6877; -50.9227];[17.9556; -34.7230]
373; 1; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.0572; -56.5239];[0.0000; 0.0000];[9.0797; -13.4232];[0.5172; -42.3574];[18.6882; -53.2557];[20.9911; -36.5941]
374; 1; 14;[0.0000; 0.0000];[0.0000; 0.0000];[0.0599; -44.9824];[0.0000; 0.0000];[9.7423; -37.9129];[0.5524; -25.4831];[18.6885; -45.2646];[29.0768; -25.5723]
375; 1; 15;[0.0000; 0.0000];[0.0000; 0.0000];[0.0663; -24.0658];[0.0000; 0.0000];[10.3953; -7.6547];[0.6083; -22.5046];[18.6886; -49.9666];[31.3606; -16.1782]
376; 1; 16;[0.0000; 0.0000];[0.0000; 0.0000];[0.0395; -50.3945];[0.0000; 0.0000];[10.7143; -3.6785];[0.4883; -10.9906];[21.0970; -50.0845];[26.4696; 4.2292]
377; 1; 17;[0.0000; 0.0000];[0.0000; 0.0000];[0.1006; -50.3866];[0.0000; 0.0000];[10.7282; -22.2451];[0.5116; -40.5881];[21.9262; -49.2560];[26.5699; -0.7478]
378; 1; 18;[0.0000; 0.0000];[0.0000; 0.0000];[0.0793; -61.3000];[0.0000; 0.0000];[8.8152; -60.8980];[0.4002; -24.0426];[21.9439; -46.2941];[26.6684; -8.4902]
379; 1; 19;[0.0000; 0.0000];[0.0000; 0.0000];[0.0682; -51.2106];[0.0000; 0.0000];[5.1459; -51.2106];[0.3678; -11.7772];[21.9439; -45.0518];[26.7649; -5.7328]
380; 1; 20;[0.0000; 0.0000];[0.0000; 0.0000];[0.0553; -47.8419];[0.0000; 0.0000];[5.1782; -48.0787];[0.3932; 11.1492];[21.9439; -41.8667];[26.8601; -4.6792]
381; 1; 21;[0.0000; 0.0000];[0.0000; 0.0000];[0.0532; 0.0000];[0.0000; 0.0000];[4.9686; -5.0391];[0.4338; -34.7961];[17.9702; -46.8742];[28.9756; -26.8086]
382; 1; 22;[0.0000; 0.0000];[0.0000; 0.0000];[0.0412; 0.0000];[0.0000; 0.0000];[6.3206; -12.9301];[0.4165; 59.5103];[17.5146; -45.7808];[28.7531; -49.6026]
383; 1; 23;[0.0000; 0.0000];[0.0000; 0.0000];[0.0595; -0.6075];[0.0000; 0.0000];[7.1753; -19.8994];[0.4072; -136.3331];[18.0683; -34.4429];[18.0422; -70.0703]
384; 2; 0;[0.0000; 0.0000];[0.0000; 0.0000];[0.0509; -1.5863];[0.0000; 0.0000];[8.3896; -18.1134];[0.4059; -1.4230];[19.6924; -32.3693];[26.9142; -35.7939]
385; 2; 1;[0.0000; 0.0000];[0.0000; 0.0000];[0.0537; 0.0000];[0.0000; 0.0000];[8.4716; -13.6331];[0.4102; 25.6468];[18.9129; -37.4426];[17.6040; -36.0610]
386; 2; 2;[0.0000; 0.0000];[0.0000; 0.0000];[0.0794; -12.4936];[0.0000; 0.0000];[7.2756; -14.5815];[0.3991; 15.7103];[31.1438; -33.6208];[31.8483; -30.1239]
387; 2; 3;[0.0000; 0.0000];[0.0000; 0.0000];[0.0640; -3.1520];[0.0000; 0.0000];[6.9802; -24.1083];[0.4185; 67.9283];[18.8591; -43.1213];[34.2735; -28.7711]
388; 2; 4;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[6.9478; -29.8706];[0.4640; -68.0696];[18.5544; -37.6241];[37.3002; -32.8559]
389; 2; 5;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[8.3911; -43.3029];[0.4872; -13.1261];[18.5545; -43.8518];[25.3384; -32.0407]
390; 2; 6;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[10.9858; -35.6106];[0.4071; 15.8288];[19.9968; -38.3315];[39.4595; -36.1618]
391; 2; 7;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[12.8587; -43.4673];[0.4783; -39.3251];[20.0614; -37.2073];[13.1667; -34.9625]
392; 2; 8;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[15.7096; -49.7014];[0.4069; -26.0938];[20.4653; -41.7028];[8.4246; -31.5110]
393; 2; 9;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[17.4000; -49.8370];[0.3491; -1.9354];[22.2207; -49.1085];[18.6050; -30.9441]
394; 2; 10;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[15.9263; -50.6854];[0.3414; -14.5361];[23.5137; -50.1898];[15.3376; -31.6560]
395; 2; 11;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[13.0955; -53.5157];[0.3404; -26.9277];[22.9794; -51.1695];[11.8040; -31.0724]
396; 2; 12;[0.0000; 0.0000];[0.0000; 0.0000];[0.0553; -55.9013];[0.0000; 0.0000];[13.0719; -63.4262];[0.2899; 21.6525];[24.4191; -55.9351];[22.7942; -31.6853]
397; 2; 13;[0.0000; 0.0000];[0.0000; 0.0000];[0.0514; -52.9459];[0.0000; 0.0000];[14.2848; -13.7789];[0.3947; -149.6748];[23.1111; -49.2361];[27.9918; -21.7221]
398; 2; 14;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[14.4970; -91.1414];[-0.0561; 1607.5948];[25.5795; -59.7736];[26.5084; -11.3760]
399; 2; 15;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[15.9286; -39.0573];[0.4315; -126.6640];[26.1186; -64.1933];[30.7182; -13.8336]
400; 2; 16;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[16.2488; -14.5932];[0.3940; -418.0581];[26.3106; -51.8702];[31.3546; -32.3233]
401; 2; 17;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[15.9328; -12.8767];[0.5123; -362.3372];[26.5186; -50.1046];[30.7430; -29.9360]
402; 2; 18;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[13.8916; -5.2684];[0.4937; -409.1553];[26.3416; -60.1387];[28.1136; -30.9232]
