game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_1;360;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;360;SPOT;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;360;AgentUDE;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;360;EWIIS3;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;360;VidyutVanika;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;360;COLDPower18;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;360;default broker;-30207.942;0.000;0.000;-30207.942;-5443.711;-0.000;-0.000
PowerTAC_2018_Finals_1;361;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_1;361;Bunnie;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_1;361;SPOT;0.000;2451.673;-47.348;2451.673;18.467;-10.039;0.000
PowerTAC_2018_Finals_1;361;AgentUDE;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_1;361;EWIIS3;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_1;361;VidyutVanika;0.000;190.000;-4.442;190.000;1.431;-0.778;0.000
PowerTAC_2018_Finals_1;361;COLDPower18;0.000;0.000;0.000;0.000;0.000;-0.000;0.000
PowerTAC_2018_Finals_1;361;default broker;-30343.876;29826.150;-576.013;-517.726;-3.900;2.120;-0.000
PowerTAC_2018_Finals_1;362;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_1;362;Bunnie;-20146.921;0.000;0.000;-20146.921;-1207.310;-434.855;-434.855
PowerTAC_2018_Finals_1;362;SPOT;0.000;2522.945;-57.178;2522.945;151.188;54.456;0.000
